date,unitname,id_sim,variant,case_type,value,date_intro,lag,params_1,params_2,parval_1,parval_2,fig,lag_median,value_median
2021-11-15,EU_others,1016,Omicron BA.2,Imported,1,2021-11-08,7,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-15,EU_others,1016,Omicron BA.2,Imported,1,2021-11-08,7,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-21,EU_others,1017,Omicron BA.2,Imported,1,2021-11-08,13,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-21,EU_others,1017,Omicron BA.2,Imported,1,2021-11-08,13,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,EU_others,1018,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,EU_others,1018,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-11,EU_others,1019,Omicron BA.2,Imported,1,2021-11-08,3,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-11,EU_others,1019,Omicron BA.2,Imported,1,2021-11-08,3,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-20,EU_others,102,Omicron BA.2,Imported,1,2021-11-08,12,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-20,EU_others,102,Omicron BA.2,Imported,1,2021-11-08,12,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-15,TR,1020,Omicron BA.2,Imported,1,2021-11-08,7,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-12,GB,1020,Omicron BA.2,Imported,1,2021-11-08,4,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-14,EU_others,1021,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-14,EU_others,1021,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-18,EU_others,1022,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-18,EU_others,1022,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-20,EU_others,1023,Omicron BA.2,Imported,1,2021-11-08,12,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-20,EU_others,1023,Omicron BA.2,Imported,1,2021-11-08,12,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-22,EU_others,1024,Omicron BA.2,Imported,1,2021-11-08,14,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-22,EU_others,1024,Omicron BA.2,Imported,1,2021-11-08,14,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-14,EU_others,103,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-14,EU_others,103,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,EU_others,104,Omicron BA.2,Imported,2,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,EU_others,104,Omicron BA.2,Imported,2,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
