variant,params_1,params_2,parval_1,parval_2,lag_median,lag_mean
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T3-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T3a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T7-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T7a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T11-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T11a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T3-H,16,18
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T3a-H,16,17.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T7-H,16,17.9453
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T7a-H,16,17.9492
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T11-H,16,17.332
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T11a-H,16,17.3789
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T3-M,40,40.6914
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T3a-M,40.5,39.9941
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T7-M,39,38.2656
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T7a-M,39,38.3613
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T11-M,26,25.2949
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T11a-M,27,26.1367
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T3-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T3a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T7-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T7a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T11-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T11a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T3-H,16,18.0039
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T3a-H,16,17.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T7-H,16,17.9492
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T7a-H,16,17.9512
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T11-H,16,17.332
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T11a-H,16,17.3789
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T3-M,40,40.7461
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T3a-M,41,40.043
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T7-M,39,38.2773
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T7a-M,39,38.4141
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T11-M,26,25.3203
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T11a-M,27,26.1562
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T3-R,11,11.9082
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T3a-R,11,11.9082
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T7-R,11,11.9082
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T7a-R,11,11.9082
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T11-R,11,11.9082
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T11a-R,11,11.9082
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T3-H,16,17.5879
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T3a-H,16,17.502
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T7-H,16,17.6328
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T7a-H,16,17.6348
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T11-H,16,17.1602
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T11a-H,16,17.2031
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T3-M,29,31.3301
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T3a-M,29,31.1699
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T7-M,31.5,32.0176
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T7a-M,32,32.3633
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T11-M,24,24.2207
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T11a-M,24,25.0137
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T3-R,11,11.5332
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T3a-R,10.5,11.5098
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T7-R,11,11.5332
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T7a-R,10.5,11.5098
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T11-R,11,11.5332
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T11a-R,10.5,11.5098
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T3-H,16,16.3535
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T3a-H,16,15.8047
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T7-H,16,16.4785
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T7a-H,16,16.4082
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T11-H,16,16.2852
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T11a-H,16,16.2129
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T3-M,26,25.4082
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T3a-M,22,21.9883
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T7-M,26,24.3613
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T7a-M,26,24.627
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T11-M,22,21.6094
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T11a-M,23,22.4277
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T3-R,10,11.2598
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T3a-R,10,11.2168
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T7-R,10,11.2598
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T7a-R,10,11.2168
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T11-R,10,11.2598
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T11a-R,10,11.2168
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T3-H,16,15.418
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T3a-H,15,14.3164
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T7-H,16,14.9121
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T7a-H,16,14.8594
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T11-H,16,14.9043
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T11a-H,16,14.9883
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T3-M,22,21.7129
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T3a-M,16,18.2266
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T7-M,17.5,19.7988
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T7a-M,18,19.8418
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T11-M,16.5,17.8164
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),50%,T11a-M,20,18.8164
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T3-R,10,11.1719
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T3a-R,10,11.1289
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T7-R,10,11.1719
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T7a-R,10,11.1289
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T11-R,10,11.1719
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T11a-R,10,11.1289
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T3-H,16,14.9004
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T3a-H,14,13.6348
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T7-H,14,14.1172
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T7a-H,14,14.1348
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T11-H,14,14.2207
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T11a-H,14.5,14.2305
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T3-M,17.5,19.4297
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T3a-M,14,16.373
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T7-M,15,17.4863
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T7a-M,15,17.4805
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T11-M,12,14.9258
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),70%,T11a-M,14,15.7422
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),90%,T3-R,10,11.1426
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),90%,T3a-R,10,11.0918
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),90%,T7-R,10,11.127
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),90%,T7a-R,10,11.0918
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),90%,T11-R,10,11.127
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),90%,T11a-R,10,11.0918
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),90%,T3-H,15,14.6543
