variant,params_1,params_2,parval_1,parval_2,lag_median,lag_mean
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T3-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T3a-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T7-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T7a-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T11-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T11a-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T3-H,21,22.1719
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T3a-H,21,22.1875
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T7-H,21,22.2344
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T7a-H,21,22.2441
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T11-H,21,22.1914
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T11a-H,21,22.2383
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T3-M,30,29.7402
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T3a-M,30,29.6426
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T7-M,31,30.0977
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T7a-M,31,30.2871
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T11-M,31,30.1465
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T11a-M,31,30.3379
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T3-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T3a-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T7-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T7a-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T11-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T11a-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T3-H,21,22.1719
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T3a-H,21,22.1953
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T7-H,21,22.2441
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T7a-H,21,22.2617
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T11-H,21,22.1914
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T11a-H,21,22.2402
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T3-M,30,29.7812
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T3a-M,30,29.7012
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T7-M,31,30.1465
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T7a-M,31,30.3242
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T11-M,31,30.1855
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T11a-M,31,30.4043
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T3-R,18,18.6582
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T3a-R,18,18.6582
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T7-R,18,18.6582
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T7a-R,18,18.6582
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T11-R,18,18.6582
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T11a-R,18,18.6582
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T3-H,21,22.125
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T3a-H,21,22.1758
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T7-H,21,22.2285
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T7a-H,21,22.2559
