variant,params_1,params_2,parval_1,parval_2,lag_median,lag_mean
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T11-H,21,22.2559
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T11a-H,21,22.2754
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T3-M,30,29.4473
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T3a-M,30,29.1191
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T7-M,31,30.1699
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T7a-M,31,30.2129
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T11-M,31,30.0898
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T11a-M,31,30.2324
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T3-R,18,17.6836
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T3a-R,18,17.6836
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T7-R,18,17.6836
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T7a-R,18,17.6836
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T11-R,18,17.4453
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T11a-R,18,17.4453
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T3-H,20,20.1895
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T3a-H,20.5,20.1914
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T7-H,21,20.3809
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T7a-H,21,20.4258
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T11-H,20,19.4824
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T11a-H,20,19.5859
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T3-M,26,24.8652
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T3a-M,25,23.2129
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T7-M,26,25.0469
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T7a-M,26,24.8945
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T11-M,23,22.0684
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T11a-M,23,22.2871
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T3-R,18,17.3164
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T3a-R,18,17.3164
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T7-R,18,17.3164
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T7a-R,18,17.3164
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T11-R,17,16.6309
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T11a-R,17,16.6309
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T3-H,20,19.6895
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T3a-H,19.5,19.334
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T7-H,20,19.6875
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T7a-H,20,19.6836
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T11-H,19,18.2305
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T11a-H,19,18.2754
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T3-M,23,23.0391
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T3a-M,20,20.4492
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T7-M,23,22.4551
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T7a-M,24,22.5391
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T11-M,19,19.7988
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T11a-M,19,19.8281
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T3-R,17,17.2109
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T3a-R,17,17.2109
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T7-R,17,17.2109
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T7a-R,17,17.2109
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T11-R,17,16.3691
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T11a-R,17,16.3691
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T3-H,19,19.4434
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T3a-H,19,18.3633
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T7-H,19,19.3145
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T7a-H,19,19.4004
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T11-H,19,17.9219
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T11a-H,19,17.9863
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T3-M,21,22.0957
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T3a-M,18,18.5449
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T7-M,20,20.5586
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T7a-M,20,20.7324
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T11-M,19,18.8184
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T11a-M,19,19.1309
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T3-R,17,17.1777
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T3a-R,17,17.1719
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T7-R,17,17.1719
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T7a-R,17,17.1719
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T11-R,17,16.3301
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T11a-R,17,16.3301
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T3-H,19,19.2969
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T3a-H,19,17.4668
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T7-H,19,18.7168
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T7a-H,19,18.9492
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T11-H,18,17.6758
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T11a-H,19,17.7891
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T3-M,21,21.5371
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T3a-M,15,17.2031
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T7-M,19,19.0879
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T7a-M,19,19.5195
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T11-M,18,17.834
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T11a-M,18,18.3574
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T3-R,17,17.1152
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T3a-R,17,17.1094
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T7-R,17,17.1094
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T7a-R,17,17.1094
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T11-R,17,16.2891
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T11a-R,17,16.2891
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T3-H,19,19.2227
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T3a-H,18,17.1309
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T7-H,19,18.4863
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T7a-H,19,18.7109
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T11-H,18,17.4785
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T11a-H,18,17.6465
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T3-M,21,21.2207
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T3a-M,15,16.6543
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T7-M,18,18.5371
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T7a-M,19,18.8477
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T11-M,17,17.5039
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T11a-M,18,17.918
