date,unitname,id_sim,variant,case_type,value,date_intro,lag,params_1,params_2,parval_1,parval_2,fig,lag_median,value_median
2021-10-05,ZA,1,Omicron BA.1,Community,1.1992029912170505,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-29,ZA,10,Omicron BA.1,Community,1.0401634656550738,2021-09-21,8,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,100,Omicron BA.1,Community,1.6052479364719947,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,1000,Omicron BA.1,Community,1.1687962947363788,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-02,ZA,1001,Omicron BA.1,Community,1.1732510956105433,2021-09-21,11,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,1002,Omicron BA.1,Community,1.0283964021814653,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-29,ZA,1003,Omicron BA.1,Community,1.0476247639477472,2021-09-21,8,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,1004,Omicron BA.1,Community,1.0471486038314886,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,1005,Omicron BA.1,Community,1.0163835681255924,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-03,ZA,1006,Omicron BA.1,Community,1.125503041429428,2021-09-21,12,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-06,ZA,1007,Omicron BA.1,Community,1.1191382533079348,2021-09-21,15,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-30,ZA,1008,Omicron BA.1,Community,1.000196032406122,2021-09-21,9,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,1009,Omicron BA.1,Community,1.1584987094503638,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-29,ZA,101,Omicron BA.1,Community,1.279488660687543,2021-09-21,8,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,1010,Omicron BA.1,Community,1.3269566993213735,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-27,ZA,1011,Omicron BA.1,Community,1.0279406750190883,2021-09-21,6,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-30,ZA,1012,Omicron BA.1,Community,1.1086855044789372,2021-09-21,9,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,1013,Omicron BA.1,Community,1.136307646140111,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,1014,Omicron BA.1,Community,1.0068237860437395,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-02,ZA,1015,Omicron BA.1,Community,1.009894529066792,2021-09-21,11,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,1016,Omicron BA.1,Community,1.9714258463167786,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,1017,Omicron BA.1,Community,1.39817588715103,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,1018,Omicron BA.1,Community,1.213385654866778,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,1019,Omicron BA.1,Community,1.0552439842188988,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-27,ZA,102,Omicron BA.1,Community,1.0081958707612224,2021-09-21,6,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,1020,Omicron BA.1,Community,1.3592559504869857,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,1021,Omicron BA.1,Community,1.0593116084640668,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,1022,Omicron BA.1,Community,1.0296454621591007,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,1023,Omicron BA.1,Community,1.3889616050045774,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,1024,Omicron BA.1,Community,1.206927328061802,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,103,Omicron BA.1,Community,1.6755952868114308,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-30,ZA,104,Omicron BA.1,Community,1.100387311851444,2021-09-21,9,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,105,Omicron BA.1,Community,1.0410823103379427,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,106,Omicron BA.1,Community,1.2088741678455692,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,107,Omicron BA.1,Community,1.0108586115888953,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,108,Omicron BA.1,Community,1.1866671163274527,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,109,Omicron BA.1,Community,1.2904835618213555,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-30,ZA,11,Omicron BA.1,Community,1.1415190842346852,2021-09-21,9,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,110,Omicron BA.1,Community,1.761080869852465,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,111,Omicron BA.1,Community,1.2494367305413825,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,112,Omicron BA.1,Community,1.3459599394607988,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-30,ZA,113,Omicron BA.1,Community,1.0073695717873719,2021-09-21,9,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,114,Omicron BA.1,Community,1.069203879717919,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-27,ZA,115,Omicron BA.1,Community,1.177701915815448,2021-09-21,6,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-08,ZA,116,Omicron BA.1,Community,1.193337525069126,2021-09-21,17,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-03,ZA,117,Omicron BA.1,Community,1.036042090993668,2021-09-21,12,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-27,ZA,118,Omicron BA.1,Community,1.0050668567133054,2021-09-21,6,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,119,Omicron BA.1,Community,1.0178344919098392,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,12,Omicron BA.1,Community,1.2542663654500097,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,120,Omicron BA.1,Community,1.1967676437296895,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,121,Omicron BA.1,Community,1.4331575862801536,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,122,Omicron BA.1,Community,1.2334814169053447,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,123,Omicron BA.1,Community,1.0862285391408066,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-29,ZA,124,Omicron BA.1,Community,1.2208336697579172,2021-09-21,8,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,125,Omicron BA.1,Community,1.0673938965393572,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-30,ZA,126,Omicron BA.1,Community,1.05393843390554,2021-09-21,9,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-29,ZA,127,Omicron BA.1,Community,1.04140054048731,2021-09-21,8,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,128,Omicron BA.1,Community,1.7561721524779155,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,129,Omicron BA.1,Community,1.1024466783961757,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,13,Omicron BA.1,Community,1.0069179387455778,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-29,ZA,130,Omicron BA.1,Community,1.0443596637286436,2021-09-21,8,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,131,Omicron BA.1,Community,1.1114424535436094,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-02,ZA,132,Omicron BA.1,Community,1.0228482748873364,2021-09-21,11,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-30,ZA,133,Omicron BA.1,Community,1.020446273200448,2021-09-21,9,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-06,ZA,134,Omicron BA.1,Community,1.0481413338129457,2021-09-21,15,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-29,ZA,135,Omicron BA.1,Community,1.0772988819133233,2021-09-21,8,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,136,Omicron BA.1,Community,1.1651320821962357,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,137,Omicron BA.1,Community,1.1857843593723707,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-06,ZA,138,Omicron BA.1,Community,1.27924621244116,2021-09-21,15,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,139,Omicron BA.1,Community,1.2874302460296645,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-27,ZA,14,Omicron BA.1,Community,1.3916782413245896,2021-09-21,6,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,140,Omicron BA.1,Community,1.0604953243394373,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-06,ZA,141,Omicron BA.1,Community,1.0840073981815432,2021-09-21,15,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,142,Omicron BA.1,Community,1.059695245393104,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-18,ZA,143,Omicron BA.1,Community,1.1417044077059277,2021-09-21,27,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,144,Omicron BA.1,Community,1.8657616285686514,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,145,Omicron BA.1,Community,1.2926846165395447,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,146,Omicron BA.1,Community,1.481368083397527,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-02,ZA,147,Omicron BA.1,Community,1.238602497366746,2021-09-21,11,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,148,Omicron BA.1,Community,1.025115278999072,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,149,Omicron BA.1,Community,1.2424016472064754,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,15,Omicron BA.1,Community,1.0220870812903233,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,150,Omicron BA.1,Community,1.4752566859686513,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,151,Omicron BA.1,Community,1.079674393196164,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,152,Omicron BA.1,Community,1.1709782268577629,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,153,Omicron BA.1,Community,1.0089583933792245,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-03,ZA,154,Omicron BA.1,Community,1.0279132163982858,2021-09-21,12,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,155,Omicron BA.1,Community,1.1392253329174364,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,156,Omicron BA.1,Community,1.453383264678695,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-26,ZA,157,Omicron BA.1,Community,1.0240952469004645,2021-09-21,5,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,158,Omicron BA.1,Community,1.392187621874044,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-29,ZA,159,Omicron BA.1,Community,1.0606338565680058,2021-09-21,8,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,16,Omicron BA.1,Community,1.1702903242604672,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,160,Omicron BA.1,Community,1.1640982965094502,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-03,ZA,161,Omicron BA.1,Community,1.044917215052514,2021-09-21,12,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-03,ZA,162,Omicron BA.1,Community,1.02817151002076,2021-09-21,12,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-03,ZA,163,Omicron BA.1,Community,1.2199288761300455,2021-09-21,12,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,164,Omicron BA.1,Community,1.007179886933969,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,165,Omicron BA.1,Community,1.056976822053637,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-29,ZA,166,Omicron BA.1,Community,1.0154135773820774,2021-09-21,8,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,167,Omicron BA.1,Community,1.2910642486300639,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,168,Omicron BA.1,Community,1.0246341673141062,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,169,Omicron BA.1,Community,1.6727815798827164,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,17,Omicron BA.1,Community,1.4736511757347948,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-17,ZA,170,Omicron BA.1,Community,1.0178080869710735,2021-09-21,26,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-02,ZA,171,Omicron BA.1,Community,1.0958289062386217,2021-09-21,11,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-06,ZA,172,Omicron BA.1,Community,1.0446659450787794,2021-09-21,15,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-29,ZA,173,Omicron BA.1,Community,1.1665967581351757,2021-09-21,8,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,174,Omicron BA.1,Community,1.113343101891282,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-02,ZA,175,Omicron BA.1,Community,1.033701595396702,2021-09-21,11,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-03,ZA,176,Omicron BA.1,Community,1.2691246650477848,2021-09-21,12,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,177,Omicron BA.1,Community,1.927057673654501,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,178,Omicron BA.1,Community,1.5759343241098063,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,179,Omicron BA.1,Community,1.704853070278545,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,18,Omicron BA.1,Community,1.1705421668868763,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-07,ZA,180,Omicron BA.1,Community,1.2468900878861229,2021-09-21,16,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-26,ZA,181,Omicron BA.1,Community,1.1309268007750444,2021-09-21,5,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-27,ZA,182,Omicron BA.1,Community,1.0707290676086878,2021-09-21,6,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-05,ZA,183,Omicron BA.1,Community,1.1803148303820719,2021-09-21,14,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-27,ZA,184,Omicron BA.1,Community,1.1151263221137053,2021-09-21,6,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,185,Omicron BA.1,Community,1.152762905590558,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-09-30,ZA,186,Omicron BA.1,Community,1.1042173278202796,2021-09-21,9,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,187,Omicron BA.1,Community,1.3638882526924936,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-01,ZA,188,Omicron BA.1,Community,1.327669308440438,2021-09-21,10,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
2021-10-02,ZA,189,Omicron BA.1,Community,1.1308962986431468,2021-09-21,11,Traveler weight,Travel hubs,0,Max,fig_3g,11,1.1223
