date,unitname,id_sim,variant,case_type,value,date_intro,lag,params_1,params_2,parval_1,parval_2,fig,lag_median,value_median
2021-09-22,ZA,1,Omicron BA.1,Community,1.0968493983918912,2021-09-21,1,Traveler weight,Change DSR,0,2,fig_3d,1,1.0642
2021-09-22,ZA,10,Omicron BA.1,Community,1.0746938452005947,2021-09-21,1,Traveler weight,Change DSR,0,2,fig_3d,1,1.0642
2021-09-22,ZA,100,Omicron BA.1,Community,1.0570978596037237,2021-09-21,1,Traveler weight,Change DSR,0,2,fig_3d,1,1.0642
2021-09-22,ZA,1000,Omicron BA.1,Community,1.1467785399590005,2021-09-21,1,Traveler weight,Change DSR,0,2,fig_3d,1,1.0642
2021-09-22,ZA,1001,Omicron BA.1,Community,1.1095788519773262,2021-09-21,1,Traveler weight,Change DSR,0,2,fig_3d,1,1.0642
2021-09-24,ZA,1002,Omicron BA.1,Community,1.139011746591024,2021-09-21,3,Traveler weight,Change DSR,0,2,fig_3d,1,1.0642
2021-09-22,ZA,1003,Omicron BA.1,Community,1.0567753386111145,2021-09-21,1,Traveler weight,Change DSR,0,2,fig_3d,1,1.0642
2021-09-22,ZA,1004,Omicron BA.1,Community,1.0442531436909863,2021-09-21,1,Traveler weight,Change DSR,0,2,fig_3d,1,1.0642
2021-09-22,ZA,1005,Omicron BA.1,Community,1.1072927642295503,2021-09-21,1,Traveler weight,Change DSR,0,2,fig_3d,1,1.0642
2021-09-22,ZA,1006,Omicron BA.1,Community,1.072045200575946,2021-09-21,1,Traveler weight,Change DSR,0,2,fig_3d,1,1.0642
2021-09-22,ZA,1007,Omicron BA.1,Community,1.0769041237485764,2021-09-21,1,Traveler weight,Change DSR,0,2,fig_3d,1,1.0642
2021-09-22,ZA,1008,Omicron BA.1,Community,1.041899272159924,2021-09-21,1,Traveler weight,Change DSR,0,2,fig_3d,1,1.0642
2021-09-22,ZA,1009,Omicron BA.1,Community,1.0718466094625518,2021-09-21,1,Traveler weight,Change DSR,0,2,fig_3d,1,1.0642
2021-09-22,ZA,101,Omicron BA.1,Community,1.0892624905367028,2021-09-21,1,Traveler weight,Change DSR,0,2,fig_3d,1,1.0642
2021-09-24,ZA,1010,Omicron BA.1,Community,1.1463799079839287,2021-09-21,3,Traveler weight,Change DSR,0,2,fig_3d,1,1.0642
