variant,params_1,params_2,parval_1,parval_2,lag_median,lag_mean
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P3a-M,26,26.0156
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P7-M,29,27.2031
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P7a-M,29,27.293
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P11-M,30,28.709
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P11a-M,30,28.752
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P3-R,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P3a-R,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P7-R,18,18.6699
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P7a-R,18,18.6699
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P11-R,18,17.6836
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P11a-R,18,17.6836
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P3-H,21,20.8711
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P3a-H,21,20.9883
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P7-H,21,21.2891
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P7a-H,21,21.3066
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P11-H,20.5,19.9727
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P11a-H,20.5,19.9941
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P3-M,24,24.4629
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P3a-M,25,24.7754
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P7-M,27,26.3613
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P7a-M,27,26.5938
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P11-M,25,24.1172
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P11a-M,25,24.1426
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P3-R,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P3a-R,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P7-R,18,18.6797
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P7a-R,18,18.6797
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P11-R,18,17.3164
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P11a-R,18,17.3164
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P3-H,21,20.8477
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P3a-H,21,20.9414
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P7-H,21,21.1074
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P7a-H,21,21.123
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P11-H,20,19.0645
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P11a-H,20,19.0703
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P3-M,24,24.3477
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P3a-M,25,24.4395
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P7-M,26,25.5273
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P7a-M,26,25.7617
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P11-M,23,21.7129
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P11a-M,23,21.7715
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P3-R,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P3a-R,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P7-R,18,18.6699
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P7a-R,18,18.6699
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P11-R,17,17.2109
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P11a-R,17,17.2109
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P3-H,21,20.8047
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P3a-H,21,20.8867
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P7-H,21,20.9512
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P7a-H,21,21.0234
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P11-H,19,18.8125
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P11a-H,19,18.8262
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P3-M,24,24.2305
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P3a-M,24,24.25
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P7-M,25,25.0547
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P7a-M,25,25.2227
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P11-M,20,20.4941
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P11a-M,20,20.5371
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P3-R,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P3a-R,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P7-R,18,18.6621
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P7a-R,18,18.6621
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P11-R,17,17.1719
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P11a-R,17,17.1719
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P3-H,21,20.7852
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P3a-H,21,20.7988
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P7-H,21,20.8633
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P7a-H,21,20.8887
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P11-H,19,18.5605
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P11a-H,19,18.582
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P3-M,24,24.1348
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P3a-M,24,24.1367
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P7-M,25,24.2676
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P7a-M,25,24.5352
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P11-M,19,19.5352
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P11a-M,19,19.6895
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P3-R,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P3a-R,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P7-R,18,18.6367
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P7a-R,18,18.6367
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P11-R,17,17.1094
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P11a-R,17,17.1094
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P3-H,21,20.7832
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P3a-H,21,20.793
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P7-H,21,20.7578
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P7a-H,21,20.7852
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P11-H,19,18.4062
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P11a-H,19,18.4141
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P3-M,24,24.0625
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P3a-M,24,24.0391
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P7-M,24,23.7891
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P7a-M,25,24.0566
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P11-M,19,19.166
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P11a-M,19,19.2148
