variant,params_1,params_2,parval_1,parval_2,lag_median,lag_mean
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3-R,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3a-R,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7a-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11a-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3-H,21,21.2148
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3a-H,21,21.4355
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7-H,21,21.4414
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7a-H,21,21.457
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11-H,21,21.7012
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11a-H,21,21.7031
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3-M,25,26.2148
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3a-M,26,27.5566
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7-M,29,27.4883
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7a-M,29,27.5859
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11-M,31,29.0449
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11a-M,31,29.0898
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P3-R,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P3a-R,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P7-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P7a-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P11-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P11a-R,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P3-H,21,21.2129
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P3a-H,21,21.4316
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P7-H,21,21.4512
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P7a-H,21,21.459
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P11-H,21,21.709
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P11a-H,21,21.709
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P3-M,25,26.0957
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P3a-M,26,27.4238
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P7-M,29,27.4688
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P7a-M,29,27.5566
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P11-M,31,29.0762
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P11a-M,31,29.123
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P3-R,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P3a-R,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P7-R,18,18.6582
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P7a-R,18,18.6582
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P11-R,18,18.6582
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P11a-R,18,18.6582
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P3-H,21,21.0898
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P3a-H,21,21.3008
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P7-H,21,21.3965
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P7a-H,21,21.4297
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P11-H,21,21.6836
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P11a-H,21,21.7051
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P3-M,25,25.1465
