date,unitname,id_sim,variant,case_type,value,date_intro,lag,params_1,params_2,parval_1,parval_2,fig,lag_median,value_median
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.5,9,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.5,11,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.5,13,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.5,15,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.5,17,fig_3g,9,1
2021-12-03,ZA,1,Omicron BA.2,Community,1.1061304698880225,2021-11-08,25,Traveler weight,Travel hubs,0.5,Max,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.7,9,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.7,11,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.7,13,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.7,15,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.7,17,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.7,Max,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.9,9,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.9,11,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.9,13,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.9,15,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.9,17,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.9,Max,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.99,9,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.99,11,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.99,13,fig_3g,9,1
2021-12-03,EU_others,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight,Travel hubs,0.99,15,fig_3g,9,1
