variant,params_1,params_2,parval_1,parval_2,lag_median,lag_mean
Omicron BA.2,Traveler weight,Travel hubs,0,3,36,35.5508
Omicron BA.2,Traveler weight,Travel hubs,0,5,27,27.6855
Omicron BA.2,Traveler weight,Travel hubs,0,7,27,28.1035
Omicron BA.2,Traveler weight,Travel hubs,0,9,27,28.1035
Omicron BA.2,Traveler weight,Travel hubs,0,11,30,29.6914
Omicron BA.2,Traveler weight,Travel hubs,0,13,30,29.7832
Omicron BA.2,Traveler weight,Travel hubs,0,15,30,29.791
Omicron BA.2,Traveler weight,Travel hubs,0,17,30,29.873
Omicron BA.2,Traveler weight,Travel hubs,0,Max,18,18.6055
Omicron BA.2,Traveler weight,Travel hubs,0.001,3,36,35.5488
Omicron BA.2,Traveler weight,Travel hubs,0.001,5,27,27.6855
Omicron BA.2,Traveler weight,Travel hubs,0.001,7,27,28.1055
Omicron BA.2,Traveler weight,Travel hubs,0.001,9,27,28.0996
Omicron BA.2,Traveler weight,Travel hubs,0.001,11,30,29.6934
Omicron BA.2,Traveler weight,Travel hubs,0.001,13,30,29.7891
Omicron BA.2,Traveler weight,Travel hubs,0.001,15,30,29.793
Omicron BA.2,Traveler weight,Travel hubs,0.001,17,30,29.873
Omicron BA.2,Traveler weight,Travel hubs,0.001,Max,18,18.6094
Omicron BA.2,Traveler weight,Travel hubs,0.01,3,36,35.2285
Omicron BA.2,Traveler weight,Travel hubs,0.01,5,27,27.7227
Omicron BA.2,Traveler weight,Travel hubs,0.01,7,27,28.1602
Omicron BA.2,Traveler weight,Travel hubs,0.01,9,26,26.7949
Omicron BA.2,Traveler weight,Travel hubs,0.01,11,29,28.7852
Omicron BA.2,Traveler weight,Travel hubs,0.01,13,29,28.8555
Omicron BA.2,Traveler weight,Travel hubs,0.01,15,29,28.8613
Omicron BA.2,Traveler weight,Travel hubs,0.01,17,29,28.9512
Omicron BA.2,Traveler weight,Travel hubs,0.01,Max,18,18.6641
Omicron BA.2,Traveler weight,Travel hubs,0.1,3,35,33.3223
Omicron BA.2,Traveler weight,Travel hubs,0.1,5,27,28.1328
Omicron BA.2,Traveler weight,Travel hubs,0.1,7,29,28.627
Omicron BA.2,Traveler weight,Travel hubs,0.1,9,15,15.7656
Omicron BA.2,Traveler weight,Travel hubs,0.1,11,19,18.3984
Omicron BA.2,Traveler weight,Travel hubs,0.1,13,19,18.6484
Omicron BA.2,Traveler weight,Travel hubs,0.1,15,19,18.6641
Omicron BA.2,Traveler weight,Travel hubs,0.1,17,19,18.8633
Omicron BA.2,Traveler weight,Travel hubs,0.1,Max,17,17.1113
Omicron BA.2,Traveler weight,Travel hubs,0.3,3,31,30.0547
Omicron BA.2,Traveler weight,Travel hubs,0.3,5,29,28.4531
Omicron BA.2,Traveler weight,Travel hubs,0.3,7,30,29.0254
Omicron BA.2,Traveler weight,Travel hubs,0.3,9,10,10.3809
Omicron BA.2,Traveler weight,Travel hubs,0.3,11,10,11.1934
Omicron BA.2,Traveler weight,Travel hubs,0.3,13,10,11.2559
Omicron BA.2,Traveler weight,Travel hubs,0.3,15,10,11.2559
Omicron BA.2,Traveler weight,Travel hubs,0.3,17,10,11.3496
Omicron BA.2,Traveler weight,Travel hubs,0.3,Max,10,11.3945
Omicron BA.2,Traveler weight,Travel hubs,0.5,3,29,28.4043
Omicron BA.2,Traveler weight,Travel hubs,0.5,5,29,27.9629
Omicron BA.2,Traveler weight,Travel hubs,0.5,7,30,28.6973
Omicron BA.2,Traveler weight,Travel hubs,0.5,9,9,10.1016
Omicron BA.2,Traveler weight,Travel hubs,0.5,11,9,10.0859
Omicron BA.2,Traveler weight,Travel hubs,0.5,13,9,10.0957
Omicron BA.2,Traveler weight,Travel hubs,0.5,15,9,10.0957
Omicron BA.2,Traveler weight,Travel hubs,0.5,17,9,10.1094
Omicron BA.2,Traveler weight,Travel hubs,0.5,Max,9,10.0215
Omicron BA.2,Traveler weight,Travel hubs,0.7,3,27,26.709
Omicron BA.2,Traveler weight,Travel hubs,0.7,5,27,26.6758
Omicron BA.2,Traveler weight,Travel hubs,0.7,7,29,27.6855
