date,unitname,id_sim,variant,case_type,value,date_intro,lag,params_1,params_2,parval_1,parval_2,fig,lag_median,value_median
2021-12-03,US,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight (travel hubs),Strategies (total),90%,T3a-M,fig_3f,15,1
2021-12-03,US,1,Omicron BA.2,Imported,1,2021-11-08,25,Traveler weight (travel hubs),Strategies (total),100%,T3a-M,fig_3f,15,1
2021-11-28,US,10,Omicron BA.2,Imported,1,2021-11-08,20,Traveler weight (travel hubs),Strategies (total),90%,T3a-M,fig_3f,15,1
2021-11-28,US,10,Omicron BA.2,Imported,1,2021-11-08,20,Traveler weight (travel hubs),Strategies (total),100%,T3a-M,fig_3f,15,1
2021-11-17,US,100,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight (travel hubs),Strategies (total),90%,T3a-M,fig_3f,15,1
2021-11-17,US,100,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight (travel hubs),Strategies (total),100%,T3a-M,fig_3f,15,1
2021-11-20,TR,101,Omicron BA.2,Imported,1,2021-11-08,12,Traveler weight (travel hubs),Strategies (total),90%,T3a-M,fig_3f,15,1
2021-11-20,TR,101,Omicron BA.2,Imported,1,2021-11-08,12,Traveler weight (travel hubs),Strategies (total),100%,T3a-M,fig_3f,15,1
2021-12-03,US,102,Omicron BA.2,Imported,2,2021-11-08,25,Traveler weight (travel hubs),Strategies (total),90%,T3a-M,fig_3f,15,1
2021-12-03,US,102,Omicron BA.2,Imported,2,2021-11-08,25,Traveler weight (travel hubs),Strategies (total),100%,T3a-M,fig_3f,15,1
2021-11-18,US,103,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight (travel hubs),Strategies (total),90%,T3a-M,fig_3f,15,1
2021-11-18,US,103,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight (travel hubs),Strategies (total),100%,T3a-M,fig_3f,15,1
2021-12-13,US,104,Omicron BA.2,Imported,1.0707518658658246,2021-11-08,35,Traveler weight (travel hubs),Strategies (total),90%,T3a-M,fig_3f,15,1
2021-12-13,US,104,Omicron BA.2,Imported,1.1897242954064717,2021-11-08,35,Traveler weight (travel hubs),Strategies (total),100%,T3a-M,fig_3f,15,1
2021-11-25,US,105,Omicron BA.2,Imported,1,2021-11-08,17,Traveler weight (travel hubs),Strategies (total),90%,T3a-M,fig_3f,15,1
2021-11-25,US,105,Omicron BA.2,Imported,1,2021-11-08,17,Traveler weight (travel hubs),Strategies (total),100%,T3a-M,fig_3f,15,1
