Pango lineage,n,time_start,time_end
B,147,2019.978082191781,2020.0614155251142
A,55,2019.978082191781,2020.0614155251142
B.1.398,20,2019.978082191781,2020.0614155251142
B.1,3,2019.978082191781,2020.0614155251142
B.1.36.1,3,2019.978082191781,2020.0614155251142
B.1.2,2,2019.978082191781,2020.0614155251142
B.1.499,2,2019.978082191781,2020.0614155251142
B.12,2,2019.978082191781,2020.0614155251142
B.4,2,2019.978082191781,2020.0614155251142
B.6.8,2,2019.978082191781,2020.0614155251142
B,364,2019.9972471472909,2020.0805804806241
A,158,2019.9972471472909,2020.0805804806241
B.1.398,20,2019.9972471472909,2020.0805804806241
B.1,17,2019.9972471472909,2020.0805804806241
B.4,10,2019.9972471472909,2020.0805804806241
B.1.2,6,2019.9972471472909,2020.0805804806241
A.6,5,2019.9972471472909,2020.0805804806241
B.1.36.1,3,2019.9972471472909,2020.0805804806241
B.1.499,2,2019.9972471472909,2020.0805804806241
B.12,2,2019.9972471472909,2020.0805804806241
B,553,2020.0164121028008,2020.099745436134
A,246,2020.0164121028008,2020.099745436134
B.1,33,2020.0164121028008,2020.099745436134
B.1.398,20,2020.0164121028008,2020.099745436134
B.4,14,2020.0164121028008,2020.099745436134
A.6,6,2020.0164121028008,2020.099745436134
B.1.2,5,2020.0164121028008,2020.099745436134
B.42,5,2020.0164121028008,2020.099745436134
B.1.160,3,2020.0164121028008,2020.099745436134
B.1.177,3,2020.0164121028008,2020.099745436134
B,676,2020.0355770583108,2020.118910391644
A,276,2020.0355770583108,2020.118910391644
B.1,40,2020.0355770583108,2020.118910391644
B.43,32,2020.0355770583108,2020.118910391644
B.42,17,2020.0355770583108,2020.118910391644
B.4,16,2020.0355770583108,2020.118910391644
A.6,6,2020.0355770583108,2020.118910391644
B.1.2,6,2020.0355770583108,2020.118910391644
B.40,6,2020.0355770583108,2020.118910391644
B.1.221,4,2020.0355770583108,2020.118910391644
B,791,2020.0547420138207,2020.138075347154
A,278,2020.0547420138207,2020.138075347154
B.1,53,2020.0547420138207,2020.138075347154
B.43,35,2020.0547420138207,2020.138075347154
B.41,32,2020.0547420138207,2020.138075347154
B.4,29,2020.0547420138207,2020.138075347154
B.42,20,2020.0547420138207,2020.138075347154
B.5,20,2020.0547420138207,2020.138075347154
B.40,15,2020.0547420138207,2020.138075347154
B.1.1,7,2020.0547420138207,2020.138075347154
B,743,2020.0739069693304,2020.1572403026637
A,219,2020.0739069693304,2020.1572403026637
B.1,159,2020.0739069693304,2020.1572403026637
B.41,86,2020.0739069693304,2020.1572403026637
B.4,72,2020.0739069693304,2020.1572403026637
B.43,50,2020.0739069693304,2020.1572403026637
B.1.1,47,2020.0739069693304,2020.1572403026637
B.5,26,2020.0739069693304,2020.1572403026637
A.1,22,2020.0739069693304,2020.1572403026637
B.40,22,2020.0739069693304,2020.1572403026637
B.1,857,2020.0930719248404,2020.1764052581736
B,808,2020.0930719248404,2020.1764052581736
B.1.1,425,2020.0930719248404,2020.1764052581736
A.1,342,2020.0930719248404,2020.1764052581736
A,194,2020.0930719248404,2020.1764052581736
B.4,190,2020.0930719248404,2020.1764052581736
A.2,108,2020.0930719248404,2020.1764052581736
B.41,97,2020.0930719248404,2020.1764052581736
B.40,78,2020.0930719248404,2020.1764052581736
B.3,66,2020.0930719248404,2020.1764052581736
B.1,3356,2020.1122368803503,2020.1955702136836
B.1.1,1104,2020.1122368803503,2020.1955702136836
B,1042,2020.1122368803503,2020.1955702136836
A.1,808,2020.1122368803503,2020.1955702136836
A.2,452,2020.1122368803503,2020.1955702136836
B.4,320,2020.1122368803503,2020.1955702136836
A,302,2020.1122368803503,2020.1955702136836
B.40,228,2020.1122368803503,2020.1955702136836
B.3,224,2020.1122368803503,2020.1955702136836
B.55,124,2020.1122368803503,2020.1955702136836
B.1,9782,2020.1314018358603,2020.2147351691935
B.1.1,2562,2020.1314018358603,2020.2147351691935
A.1,1822,2020.1314018358603,2020.2147351691935
B,1686,2020.1314018358603,2020.2147351691935
A.2,856,2020.1314018358603,2020.2147351691935
B.40,707,2020.1314018358603,2020.2147351691935
A,622,2020.1314018358603,2020.2147351691935
B.4,407,2020.1314018358603,2020.2147351691935
B.3,401,2020.1314018358603,2020.2147351691935
A.5,210,2020.1314018358603,2020.2147351691935
B.1,17998,2020.1505667913702,2020.2339001247035
B.1.1,4984,2020.1505667913702,2020.2339001247035
A.1,2540,2020.1505667913702,2020.2339001247035
B,2423,2020.1505667913702,2020.2339001247035
B.40,1413,2020.1505667913702,2020.2339001247035
A.2,1087,2020.1505667913702,2020.2339001247035
A,958,2020.1505667913702,2020.2339001247035
B.3,684,2020.1505667913702,2020.2339001247035
B.4,425,2020.1505667913702,2020.2339001247035
A.5,335,2020.1505667913702,2020.2339001247035
B.1,25951,2020.1697317468802,2020.2530650802134
B.1.1,8033,2020.1697317468802,2020.2530650802134
A.1,2984,2020.1697317468802,2020.2530650802134
B,2802,2020.1697317468802,2020.2530650802134
B.40,1899,2020.1697317468802,2020.2530650802134
A.2,1203,2020.1697317468802,2020.2530650802134
A,1170,2020.1697317468802,2020.2530650802134
B.3,860,2020.1697317468802,2020.2530650802134
B.1.371,438,2020.1697317468802,2020.2530650802134
A.5,428,2020.1697317468802,2020.2530650802134
B.1,30505,2020.1888967023901,2020.2722300357234
B.1.1,10895,2020.1888967023901,2020.2722300357234
B,2846,2020.1888967023901,2020.2722300357234
A.1,2834,2020.1888967023901,2020.2722300357234
B.40,2096,2020.1888967023901,2020.2722300357234
A,1196,2020.1888967023901,2020.2722300357234
A.2,981,2020.1888967023901,2020.2722300357234
B.3,835,2020.1888967023901,2020.2722300357234
B.1.1.369,528,2020.1888967023901,2020.2722300357234
