Pango lineage,n,time_start,time_end
B.1.147,514,2020.1888967023901,2020.2722300357234
B.1,29870,2020.2080616579,2020.2913949912333
B.1.1,12730,2020.2080616579,2020.2913949912333
B,2356,2020.2080616579,2020.2913949912333
A.1,2028,2020.2080616579,2020.2913949912333
B.40,1967,2020.2080616579,2020.2913949912333
A,992,2020.2080616579,2020.2913949912333
B.3,711,2020.2080616579,2020.2913949912333
B.1.147,687,2020.2080616579,2020.2913949912333
B.1.1.369,661,2020.2080616579,2020.2913949912333
A.2,647,2020.2080616579,2020.2913949912333
B.1,25875,2020.22722661341,2020.3105599467433
B.1.1,12932,2020.22722661341,2020.3105599467433
B,1673,2020.22722661341,2020.3105599467433
A.1,1402,2020.22722661341,2020.3105599467433
B.40,1372,2020.22722661341,2020.3105599467433
B.1.279,885,2020.22722661341,2020.3105599467433
B.1.147,742,2020.22722661341,2020.3105599467433
A,726,2020.22722661341,2020.3105599467433
B.1.1.369,724,2020.22722661341,2020.3105599467433
B.1.93,626,2020.22722661341,2020.3105599467433
B.1,20755,2020.2463915689198,2020.329724902253
B.1.1,11406,2020.2463915689198,2020.329724902253
B.1.279,1138,2020.2463915689198,2020.329724902253
B,1084,2020.2463915689198,2020.329724902253
B.40,807,2020.2463915689198,2020.329724902253
A.1,803,2020.2463915689198,2020.329724902253
B.1.1.369,716,2020.2463915689198,2020.329724902253
B.1.147,711,2020.2463915689198,2020.329724902253
B.1.1.33,661,2020.2463915689198,2020.329724902253
B.1.93,597,2020.2463915689198,2020.329724902253
B.1,16466,2020.2655565244297,2020.348889857763
B.1.1,9617,2020.2655565244297,2020.348889857763
B.1.279,1255,2020.2655565244297,2020.348889857763
B,746,2020.2655565244297,2020.348889857763
B.1.1.369,700,2020.2655565244297,2020.348889857763
B.1.1.33,614,2020.2655565244297,2020.348889857763
B.1.147,557,2020.2655565244297,2020.348889857763
A.1,555,2020.2655565244297,2020.348889857763
B.1.93,514,2020.2655565244297,2020.348889857763
B.1.1.1,494,2020.2655565244297,2020.348889857763
B.1,13570,2020.2847214799397,2020.368054813273
B.1.1,7525,2020.2847214799397,2020.368054813273
B.1.279,1186,2020.2847214799397,2020.368054813273
B.1.1.369,729,2020.2847214799397,2020.368054813273
B.1.1.33,577,2020.2847214799397,2020.368054813273
B,546,2020.2847214799397,2020.368054813273
B.1.1.1,454,2020.2847214799397,2020.368054813273
B.1.93,442,2020.2847214799397,2020.368054813273
B.1.1.28,438,2020.2847214799397,2020.368054813273
B.1.147,425,2020.2847214799397,2020.368054813273
B.1,11352,2020.3038864354496,2020.3872197687829
B.1.1,5898,2020.3038864354496,2020.3872197687829
B.1.279,746,2020.3038864354496,2020.3872197687829
B.1.1.369,704,2020.3038864354496,2020.3872197687829
B.1.1.33,489,2020.3038864354496,2020.3872197687829
A,431,2020.3038864354496,2020.3872197687829
B,430,2020.3038864354496,2020.3872197687829
B.1.147,397,2020.3038864354496,2020.3872197687829
B.1.1.1,392,2020.3038864354496,2020.3872197687829
B.1.1.28,380,2020.3038864354496,2020.3872197687829
B.1,9486,2020.3230513909596,2020.4063847242928
B.1.1,4819,2020.3230513909596,2020.4063847242928
B.1.1.369,607,2020.3230513909596,2020.4063847242928
B.1.426,427,2020.3230513909596,2020.4063847242928
B.1.369,388,2020.3230513909596,2020.4063847242928
A,376,2020.3230513909596,2020.4063847242928
B.1.1.33,365,2020.3230513909596,2020.4063847242928
B.1.279,365,2020.3230513909596,2020.4063847242928
B.1.147,354,2020.3230513909596,2020.4063847242928
B.1.595,313,2020.3230513909596,2020.4063847242928
B.1,7799,2020.3422163464695,2020.4255496798028
B.1.1,3895,2020.3422163464695,2020.4255496798028
B.1.369,536,2020.3422163464695,2020.4255496798028
B.1.426,517,2020.3422163464695,2020.4255496798028
B.1.1.369,513,2020.3422163464695,2020.4255496798028
B.1.1.291,400,2020.3422163464695,2020.4255496798028
B.1.1.33,377,2020.3422163464695,2020.4255496798028
A,342,2020.3422163464695,2020.4255496798028
B.1.595,327,2020.3422163464695,2020.4255496798028
B.1.147,298,2020.3422163464695,2020.4255496798028
B.1,6762,2020.3613813019795,2020.4447146353127
B.1.1,3697,2020.3613813019795,2020.4447146353127
B.1.369,660,2020.3613813019795,2020.4447146353127
B.1.1.291,628,2020.3613813019795,2020.4447146353127
B.1.1.369,459,2020.3613813019795,2020.4447146353127
B.1.426,448,2020.3613813019795,2020.4447146353127
B.1.595,398,2020.3613813019795,2020.4447146353127
B.1.1.33,386,2020.3613813019795,2020.4447146353127
A,320,2020.3613813019795,2020.4447146353127
B.1.428,280,2020.3613813019795,2020.4447146353127
B.1,6313,2020.3805462574894,2020.4638795908227
B.1.1,3836,2020.3805462574894,2020.4638795908227
B.1.329,814,2020.3805462574894,2020.4638795908227
B.1.1.291,776,2020.3805462574894,2020.4638795908227
B.1.369,727,2020.3805462574894,2020.4638795908227
B.1.1.33,427,2020.3805462574894,2020.4638795908227
B.1.1.369,409,2020.3805462574894,2020.4638795908227
B.1.426,361,2020.3805462574894,2020.4638795908227
B.1.1.1,325,2020.3805462574894,2020.4638795908227
B.1.595,323,2020.3805462574894,2020.4638795908227
B.1,6219,2020.3997112129994,2020.4830445463326
B.1.1,4049,2020.3997112129994,2020.4830445463326
B.1.329,1565,2020.3997112129994,2020.4830445463326
B.1.1.291,783,2020.3997112129994,2020.4830445463326
B.1.369,778,2020.3997112129994,2020.4830445463326
B.1.1.33,462,2020.3997112129994,2020.4830445463326
B.1.2,456,2020.3997112129994,2020.4830445463326
B.1.595,428,2020.3997112129994,2020.4830445463326
B.1.1.1,404,2020.3997112129994,2020.4830445463326
B.1.1.37,374,2020.3997112129994,2020.4830445463326
B.1,6140,2020.418876168509,2020.5022095018423
B.1.1,4169,2020.418876168509,2020.5022095018423
B.1.329,1603,2020.418876168509,2020.5022095018423
B.1.2,876,2020.418876168509,2020.5022095018423
B.1.369,772,2020.418876168509,2020.5022095018423
B.1.1.291,658,2020.418876168509,2020.5022095018423
B.1.595,586,2020.418876168509,2020.5022095018423
B.1.206,565,2020.418876168509,2020.5022095018423
D.2,519,2020.418876168509,2020.5022095018423
B.1.1.33,462,2020.418876168509,2020.5022095018423
B.1,6328,2020.438041124019,2020.5213744573523
B.1.1,4000,2020.438041124019,2020.5213744573523
B.1.2,1640,2020.438041124019,2020.5213744573523
B.1.329,1624,2020.438041124019,2020.5213744573523
D.2,1318,2020.438041124019,2020.5213744573523
B.1.369,883,2020.438041124019,2020.5213744573523
B.1.206,715,2020.438041124019,2020.5213744573523
B.1.595,706,2020.438041124019,2020.5213744573523
B.1.240,516,2020.438041124019,2020.5213744573523
B.1.1.284,504,2020.438041124019,2020.5213744573523
B.1,6745,2020.457206079529,2020.5405394128622
B.1.1,3316,2020.457206079529,2020.5405394128622
D.2,2622,2020.457206079529,2020.5405394128622
B.1.2,1965,2020.457206079529,2020.5405394128622
B.1.329,1051,2020.457206079529,2020.5405394128622
B.1.369,1044,2020.457206079529,2020.5405394128622
B.1.1.284,810,2020.457206079529,2020.5405394128622
B.1.595,808,2020.457206079529,2020.5405394128622
B.1.206,742,2020.457206079529,2020.5405394128622
B.1.240,728,2020.457206079529,2020.5405394128622
B.1,7086,2020.476371035039,2020.5597043683722
D.2,4703,2020.476371035039,2020.5597043683722
B.1.1,2974,2020.476371035039,2020.5597043683722
B.1.2,2243,2020.476371035039,2020.5597043683722
B.1.1.284,1207,2020.476371035039,2020.5597043683722
B.1.369,1206,2020.476371035039,2020.5597043683722
B.1.240,887,2020.476371035039,2020.5597043683722
B.1.595,809,2020.476371035039,2020.5597043683722
B.1.206,700,2020.476371035039,2020.5597043683722
B.1.582,677,2020.476371035039,2020.5597043683722
B.1,7155,2020.495535990549,2020.5788693238821
D.2,6550,2020.495535990549,2020.5788693238821
B.1.1,2757,2020.495535990549,2020.5788693238821
B.1.2,2417,2020.495535990549,2020.5788693238821
B.1.1.284,2019,2020.495535990549,2020.5788693238821
B.1.369,1277,2020.495535990549,2020.5788693238821
B.1.240,955,2020.495535990549,2020.5788693238821
B.1.595,826,2020.495535990549,2020.5788693238821
B.1.582,676,2020.495535990549,2020.5788693238821
B.1.206,548,2020.495535990549,2020.5788693238821
D.2,7897,2020.5147009460588,2020.598034279392
B.1,6843,2020.5147009460588,2020.598034279392
B.1.1.284,2865,2020.5147009460588,2020.598034279392
B.1.1,2493,2020.5147009460588,2020.598034279392
B.1.2,2457,2020.5147009460588,2020.598034279392
B.1.369,1235,2020.5147009460588,2020.598034279392
B.1.240,1011,2020.5147009460588,2020.598034279392
B.1.595,800,2020.5147009460588,2020.598034279392
B.1.582,682,2020.5147009460588,2020.598034279392
B.1.1.63,547,2020.5147009460588,2020.598034279392
D.2,7927,2020.5338659015688,2020.617199234902
B.1,6003,2020.5338659015688,2020.617199234902
B.1.1.284,3267,2020.5338659015688,2020.617199234902
B.1.1,2761,2020.5338659015688,2020.617199234902
B.1.2,2130,2020.5338659015688,2020.617199234902
B.1.369,1052,2020.5338659015688,2020.617199234902
B.1.240,935,2020.5338659015688,2020.617199234902
B.1.1.214,681,2020.5338659015688,2020.617199234902
B.1.595,642,2020.5338659015688,2020.617199234902
B.1.582,614,2020.5338659015688,2020.617199234902
D.2,7242,2020.5530308570787,2020.636364190412
B.1,5011,2020.5530308570787,2020.636364190412
B.1.1.284,3449,2020.5530308570787,2020.636364190412
B.1.1,2754,2020.5530308570787,2020.636364190412
B.1.2,2133,2020.5530308570787,2020.636364190412
B.1.369,945,2020.5530308570787,2020.636364190412
B.1.1.214,889,2020.5530308570787,2020.636364190412
B.1.240,867,2020.5530308570787,2020.636364190412
B.1.177,853,2020.5530308570787,2020.636364190412
B.1.243,611,2020.5530308570787,2020.636364190412
D.2,5951,2020.5721958125887,2020.655529145922
B.1,4447,2020.5721958125887,2020.655529145922
B.1.1.284,3188,2020.5721958125887,2020.655529145922
B.1.1,2617,2020.5721958125887,2020.655529145922
B.1.2,2333,2020.5721958125887,2020.655529145922
B.1.177,1260,2020.5721958125887,2020.655529145922
B.1.1.214,1018,2020.5721958125887,2020.655529145922
B.1.369,864,2020.5721958125887,2020.655529145922
B.1.240,845,2020.5721958125887,2020.655529145922
B.1.243,639,2020.5721958125887,2020.655529145922
D.2,4361,2020.5913607680984,2020.6746941014317
B.1,4066,2020.5913607680984,2020.6746941014317
B.1.1.284,2541,2020.5913607680984,2020.6746941014317
B.1.1,2530,2020.5913607680984,2020.6746941014317
B.1.2,2508,2020.5913607680984,2020.6746941014317
B.1.177,1793,2020.5913607680984,2020.6746941014317
B.1.1.214,1029,2020.5913607680984,2020.6746941014317
B.1.160,913,2020.5913607680984,2020.6746941014317
B.1.240,839,2020.5913607680984,2020.6746941014317
B.1.369,807,2020.5913607680984,2020.6746941014317
B.1,3618,2020.6105257236084,2020.6938590569416
D.2,3271,2020.6105257236084,2020.6938590569416
B.1.2,2752,2020.6105257236084,2020.6938590569416
B.1.177,2686,2020.6105257236084,2020.6938590569416
B.1.1,2421,2020.6105257236084,2020.6938590569416
B.1.1.284,1901,2020.6105257236084,2020.6938590569416
B.1.160,1349,2020.6105257236084,2020.6938590569416
B.1.240,859,2020.6105257236084,2020.6938590569416
B.1.1.214,855,2020.6105257236084,2020.6938590569416
B.1.369,853,2020.6105257236084,2020.6938590569416
B.1.177,3392,2020.6296906791183,2020.7130240124516
B.1,3302,2020.6296906791183,2020.7130240124516
B.1.2,3181,2020.6296906791183,2020.7130240124516
D.2,2291,2020.6296906791183,2020.7130240124516
B.1.1,2123,2020.6296906791183,2020.7130240124516
B.1.160,1785,2020.6296906791183,2020.7130240124516
B.1.1.284,1469,2020.6296906791183,2020.7130240124516
B.1.240,1023,2020.6296906791183,2020.7130240124516
AD.2,910,2020.6296906791183,2020.7130240124516
B.1.369,901,2020.6296906791183,2020.7130240124516
B.1.177,4810,2020.6488556346283,2020.7321889679615
B.1.2,3781,2020.6488556346283,2020.7321889679615
B.1,3414,2020.6488556346283,2020.7321889679615
B.1.1,2151,2020.6488556346283,2020.7321889679615
B.1.160,2132,2020.6488556346283,2020.7321889679615
D.2,1368,2020.6488556346283,2020.7321889679615
AD.2,1191,2020.6488556346283,2020.7321889679615
B.1.1.284,1116,2020.6488556346283,2020.7321889679615
B.1.1.37,1116,2020.6488556346283,2020.7321889679615
B.1.240,1072,2020.6488556346283,2020.7321889679615
B.1.177,5884,2020.6680205901382,2020.7513539234715
B.1.2,4260,2020.6680205901382,2020.7513539234715
B.1,3412,2020.6680205901382,2020.7513539234715
B.1.160,2173,2020.6680205901382,2020.7513539234715
B.1.1,2155,2020.6680205901382,2020.7513539234715
B.1.1.37,1351,2020.6680205901382,2020.7513539234715
AD.2,1166,2020.6680205901382,2020.7513539234715
B.1.240,1083,2020.6680205901382,2020.7513539234715
B.1.1.284,851,2020.6680205901382,2020.7513539234715
B.1.369,839,2020.6680205901382,2020.7513539234715
B.1.177,7945,2020.6871855456482,2020.7705188789814
B.1.2,5498,2020.6871855456482,2020.7705188789814
B.1,4057,2020.6871855456482,2020.7705188789814
B.1.160,2374,2020.6871855456482,2020.7705188789814
B.1.1,2343,2020.6871855456482,2020.7705188789814
B.1.1.37,1615,2020.6871855456482,2020.7705188789814
AD.2,1305,2020.6871855456482,2020.7705188789814
B.1.240,1160,2020.6871855456482,2020.7705188789814
B.1.177.45,1094,2020.6871855456482,2020.7705188789814
B.1.243,981,2020.6871855456482,2020.7705188789814
B.1.177,9425,2020.706350501158,2020.7896838344914
B.1.2,6275,2020.706350501158,2020.7896838344914
B.1,4515,2020.706350501158,2020.7896838344914
B.1.160,2579,2020.706350501158,2020.7896838344914
B.1.1,2477,2020.706350501158,2020.7896838344914
B.1.1.37,1735,2020.706350501158,2020.7896838344914
B.1.177.45,1473,2020.706350501158,2020.7896838344914
AD.2,1340,2020.706350501158,2020.7896838344914
B.1.243,1133,2020.706350501158,2020.7896838344914
B.1.240,1130,2020.706350501158,2020.7896838344914
B.1.177,11536,2020.725515456668,2020.8088487900013
B.1.2,7656,2020.725515456668,2020.8088487900013
B.1,5054,2020.725515456668,2020.8088487900013
B.1.160,3071,2020.725515456668,2020.8088487900013
B.1.1,2533,2020.725515456668,2020.8088487900013
B.1.1.37,1797,2020.725515456668,2020.8088487900013
B.1.177.45,1540,2020.725515456668,2020.8088487900013
B.1.177.4,1414,2020.725515456668,2020.8088487900013
AD.2,1371,2020.725515456668,2020.8088487900013
B.1.243,1324,2020.725515456668,2020.8088487900013
B.1.177,12728,2020.744680412178,2020.8280137455113
B.1.2,9222,2020.744680412178,2020.8280137455113
B.1,5120,2020.744680412178,2020.8280137455113
B.1.160,3815,2020.744680412178,2020.8280137455113
B.1.1,2460,2020.744680412178,2020.8280137455113
B.1.177.45,1701,2020.744680412178,2020.8280137455113
B.1.258,1678,2020.744680412178,2020.8280137455113
B.1.1.37,1600,2020.744680412178,2020.8280137455113
B.1.177.4,1528,2020.744680412178,2020.8280137455113
B.1.243,1522,2020.744680412178,2020.8280137455113
B.1.177,14855,2020.7638453676877,2020.847178701021
B.1.2,12462,2020.7638453676877,2020.847178701021
B.1,5331,2020.7638453676877,2020.847178701021
B.1.160,4498,2020.7638453676877,2020.847178701021
B.1.1,2488,2020.7638453676877,2020.847178701021
B.1.258,2133,2020.7638453676877,2020.847178701021
B.1.243,1838,2020.7638453676877,2020.847178701021
B.1.177.4,1711,2020.7638453676877,2020.847178701021
B.1.1.37,1461,2020.7638453676877,2020.847178701021
B.1.177.45,1415,2020.7638453676877,2020.847178701021
B.1.177,17235,2020.7830103231977,2020.866343656531
B.1.2,15213,2020.7830103231977,2020.866343656531
B.1,5597,2020.7830103231977,2020.866343656531
B.1.160,5026,2020.7830103231977,2020.866343656531
B.1.1,2483,2020.7830103231977,2020.866343656531
B.1.258,2320,2020.7830103231977,2020.866343656531
B.1.243,2032,2020.7830103231977,2020.866343656531
B.1.177.4,1938,2020.7830103231977,2020.866343656531
B.1.177.7,1486,2020.7830103231977,2020.866343656531
AD.2,1417,2020.7830103231977,2020.866343656531
B.1.177,17782,2020.8021752787076,2020.885508612041
B.1.2,17567,2020.8021752787076,2020.885508612041
B.1,5616,2020.8021752787076,2020.885508612041
B.1.160,5033,2020.8021752787076,2020.885508612041
B.1.1,2548,2020.8021752787076,2020.885508612041
B.1.258,2366,2020.8021752787076,2020.885508612041
B.1.243,2101,2020.8021752787076,2020.885508612041
B.1.177.4,1900,2020.8021752787076,2020.885508612041
B.1.1.214,1841,2020.8021752787076,2020.885508612041
B.1.177.7,1548,2020.8021752787076,2020.885508612041
B.1.2,18403,2020.8213402342176,2020.9046735675508
B.1.177,16961,2020.8213402342176,2020.9046735675508
B.1,5151,2020.8213402342176,2020.9046735675508
B.1.160,4442,2020.8213402342176,2020.9046735675508
B.1.1,2567,2020.8213402342176,2020.9046735675508
B.1.1.214,2376,2020.8213402342176,2020.9046735675508
B.1.1.7,2179,2020.8213402342176,2020.9046735675508
B.1.258,2130,2020.8213402342176,2020.9046735675508
B.1.243,2061,2020.8213402342176,2020.9046735675508
B.1.177.4,1711,2020.8213402342176,2020.9046735675508
B.1.2,20122,2020.8405051897275,2020.9238385230608
B.1.177,15030,2020.8405051897275,2020.9238385230608
B.1,5338,2020.8405051897275,2020.9238385230608
B.1.160,4247,2020.8405051897275,2020.9238385230608
B.1.1.214,2999,2020.8405051897275,2020.9238385230608
B.1.1.7,2655,2020.8405051897275,2020.9238385230608
B.1.1,2456,2020.8405051897275,2020.9238385230608
B.1.243,2242,2020.8405051897275,2020.9238385230608
B.1.177.21,1981,2020.8405051897275,2020.9238385230608
B.1.258,1977,2020.8405051897275,2020.9238385230608
B.1.2,20321,2020.8596701452375,2020.9430034785707
B.1.177,14163,2020.8596701452375,2020.9430034785707
B.1,5539,2020.8596701452375,2020.9430034785707
B.1.1.7,4829,2020.8596701452375,2020.9430034785707
B.1.160,4133,2020.8596701452375,2020.9430034785707
B.1.1.214,3581,2020.8596701452375,2020.9430034785707
B.1.177.21,3127,2020.8596701452375,2020.9430034785707
B.1.1,2498,2020.8596701452375,2020.9430034785707
B.1.243,2293,2020.8596701452375,2020.9430034785707
B.1.258,1979,2020.8596701452375,2020.9430034785707
B.1.2,21067,2020.8788351007474,2020.9621684340807
B.1.177,13858,2020.8788351007474,2020.9621684340807
B.1.1.7,9630,2020.8788351007474,2020.9621684340807
B.1,6114,2020.8788351007474,2020.9621684340807
B.1.160,4399,2020.8788351007474,2020.9621684340807
B.1.177.21,4284,2020.8788351007474,2020.9621684340807
B.1.1.214,3838,2020.8788351007474,2020.9621684340807
B.1.243,2600,2020.8788351007474,2020.9621684340807
B.1.429,2559,2020.8788351007474,2020.9621684340807
B.1.1,2533,2020.8788351007474,2020.9621684340807
B.1.2,20672,2020.8980000562574,2020.9813333895906
B.1.177,13534,2020.8980000562574,2020.9813333895906
B.1.1.7,13214,2020.8980000562574,2020.9813333895906
B.1,6306,2020.8980000562574,2020.9813333895906
B.1.177.21,4820,2020.8980000562574,2020.9813333895906
B.1.160,4716,2020.8980000562574,2020.9813333895906
B.1.1.214,4003,2020.8980000562574,2020.9813333895906
B.1.429,3036,2020.8980000562574,2020.9813333895906
B.1.243,2647,2020.8980000562574,2020.9813333895906
B.1.1,2552,2020.8980000562574,2020.9813333895906
B.1.2,22616,2020.917165011767,2021.0004983451004
B.1.1.7,20178,2020.917165011767,2021.0004983451004
B.1.177,14562,2020.917165011767,2021.0004983451004
B.1,6665,2020.917165011767,2021.0004983451004
B.1.160,5081,2020.917165011767,2021.0004983451004
B.1.177.21,4992,2020.917165011767,2021.0004983451004
B.1.1.214,4198,2020.917165011767,2021.0004983451004
B.1.429,3734,2020.917165011767,2021.0004983451004
B.1.243,2917,2020.917165011767,2021.0004983451004
B.1.1,2621,2020.917165011767,2021.0004983451004
B.1.1.7,31160,2020.936329967277,2021.0196633006103
B.1.2,27370,2020.936329967277,2021.0196633006103
B.1.177,15014,2020.936329967277,2021.0196633006103
B.1,7143,2020.936329967277,2021.0196633006103
B.1.429,5684,2020.936329967277,2021.0196633006103
B.1.160,5462,2020.936329967277,2021.0196633006103
B.1.1.214,5268,2020.936329967277,2021.0196633006103
B.1.177.21,4702,2020.936329967277,2021.0196633006103
B.1.243,3603,2020.936329967277,2021.0196633006103
B.1.1,2961,2020.936329967277,2021.0196633006103
B.1.1.7,42863,2020.955494922787,2021.0388282561203
B.1.2,29635,2020.955494922787,2021.0388282561203
B.1.177,14422,2020.955494922787,2021.0388282561203
B.1,6978,2020.955494922787,2021.0388282561203
B.1.429,6804,2020.955494922787,2021.0388282561203
B.1.160,5994,2020.955494922787,2021.0388282561203
B.1.1.214,5831,2020.955494922787,2021.0388282561203
B.1.177.21,4330,2020.955494922787,2021.0388282561203
B.1.243,3676,2020.955494922787,2021.0388282561203
B.1.351,3318,2020.955494922787,2021.0388282561203
B.1.1.7,54554,2020.974659878297,2021.0579932116302
B.1.2,33691,2020.974659878297,2021.0579932116302
B.1.177,13706,2020.974659878297,2021.0579932116302
B.1.429,8946,2020.974659878297,2021.0579932116302
B.1,7608,2020.974659878297,2021.0579932116302
B.1.160,6571,2020.974659878297,2021.0579932116302
B.1.1.214,6545,2020.974659878297,2021.0579932116302
B.1.427,4241,2020.974659878297,2021.0579932116302
B.1.177.21,4156,2020.974659878297,2021.0579932116302
B.1.243,4050,2020.974659878297,2021.0579932116302
B.1.1.7,73516,2020.993824833807,2021.0771581671402
B.1.2,35591,2020.993824833807,2021.0771581671402
B.1.177,13800,2020.993824833807,2021.0771581671402
B.1.429,10300,2020.993824833807,2021.0771581671402
B.1,7872,2020.993824833807,2021.0771581671402
B.1.160,7204,2020.993824833807,2021.0771581671402
B.1.1.214,6736,2020.993824833807,2021.0771581671402
B.1.427,5083,2020.993824833807,2021.0771581671402
B.1.243,4041,2020.993824833807,2021.0771581671402
B.1.351,3759,2020.993824833807,2021.0771581671402
B.1.1.7,86099,2021.0129897893169,2021.0963231226501
B.1.2,35309,2021.0129897893169,2021.0963231226501
B.1.177,13604,2021.0129897893169,2021.0963231226501
