profile_para,mle,CI_low,CI_high,delta,se_stat,se_mc,se
eta_two,0.7702602602602602,0.7663363363363362,0.7732032032032031,72.78324211226278,3.291159140005243e-4,0.0019990518713127836,0.0020259628992278073
eta_three,0.4622322322322322,0.4416316316316316,0.48577577577577574,6543.303936233956,2.6955957181594816e-4,0.01573100468848652,0.015733314046059797
eta_four,0.5397297297297297,0.5191291291291291,0.5573873873873874,1836.888422150193,4.986961928358522e-4,0.01541406445450885,0.015422129583831871
epsilon_four,0.2954654654654654,0.060030030030030025,0.3562862862862863,9889.279864540782,3.215009068351224e-4,0.02306690163463636,0.023069142026852354
lambda_one,0.99,0.01,0.99,14720033955.372488,0.0037978527993850625,332.4753413949946,332.4753414166859
lambda_two,0.5485585585585585,0.5377677677677677,0.5583683683683683,1522.974815495229,2.9393126585109785e-4,0.008271514213502074,0.008276735043071734
lambda_three,0.01,0.01,0.99,31363313.48856589,0.002214491187243337,8.948532491660133,8.94853276566993
lambda_four,0.6839339339339339,0.6682382382382382,0.7025725725725726,2090.787712071645,3.7775076234988146e-4,0.012457406865227347,0.012463132890420024
iota_one,0.01,-Inf,Inf,-36031.29039250796,NA,0.05802807587487562,0.05802652927780856
iota_two,0.6319419419419419,0.5848548548548548,0.6878578578578578,4398.763722331384,4.761640278671482e-4,0.02278211128117161,0.02278708683902182
iota_three,0.18363363363363364,0.13262262262262262,0.2424924924924925,4789.376049418515,4.3655411711159296e-4,0.021795024528225636,0.021799396177030323
iota_four,0.01,-Inf,Inf,-2062972.6287479273,NA,0.9949901323014657,0.9949896691093106
gamma,0.15714714714714714,0.12967967967967967,0.18853853853853852,3025.3464074767635,3.427583687913198e-4,0.013598926383035089,0.01360324527716031
sigma,0.99,-Inf,Inf,-366346.3422429694,NA,0.1897299793124571,0.1897294819436065
tau_cases,0.99,0.01,0.99,7487554.423814838,0.0036110921902529377,7.129768408070395,7.129769322545117
tau_deaths,0.99,0.8732632632632632,0.99,36153.238370912346,0.0018391658514216593,0.2523189489732977,0.25232565177171074
tau_seq_all,0.99,0.9654754754754754,0.99,9599.754579718392,0.0011805819869184508,0.08345448340301655,0.08346283348827908
tau_seq_unit,0.8663963963963963,0.01,0.99,1.9207294102438743,NA,0.029534358920357294,NA
day_BA_one,0.1698998998998999,0.12477477477477476,0.21698698698698698,7761.9773736400675,3.612858331192058e-4,0.022964145225227276,0.02296698703309908
day_BA_two,0.7594694694694695,0.7437737737737737,0.7761461461461461,1117.7719677951256,3.144087190008718e-4,0.007578175135537171,0.007584694537518146
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
