profile_para,mle_transformed,CI_low_transformed,CI_high_transformed,delta,se_stat,se_mc,se,mle,CI_low,CI_high
eta_two,3.001076076076076,2.980475475475475,3.0182432432432433,800.9123278999165,1.3592820263959348e-4,0.002772346998610094,0.0027756772789672844,0.4288788788788789,0.422992992992993,0.43378378378378374
eta_three,4.703538538538538,4.64517017017017,4.761906906906907,923.3811972229485,1.7690971410677338e-4,0.0038748682579674743,0.0038789046216102336,0.3768868868868869,0.37002002002002,0.38375375375375376
eta_four,1.9114264264264265,1.5023573573573574,1.9849999999999999,27320.125862833444,0.0011989742313929632,0.14298906850553483,0.14299409516231107,0.9409509509509509,0.6682382382382382,0.99
epsilon_four,83.13888888888889,-Inf,Inf,-4631.972847010426,NA,0.04382995853763747,0.04382087392936255,0.01,-Inf,Inf
lambda_one,0.22677157157157157,0.22484884884884884,0.22896896896896898,496.2000259213812,2.476389523738324e-4,0.0039725747223142704,0.003980285790631511,0.7741841841841841,0.7673173173173172,0.782032032032032
lambda_two,0.3756771771771772,0.35355605605605606,0.39725875875875877,28072.298607023764,1.8572328746989893e-4,0.022452122278641327,0.022452890414255595,0.10123123123123122,0.06101101101101101,0.14047047047047048
lambda_three,0.4190045045045045,0.4041132132132132,0.43254204204204205,3586.4749595920607,7.809111293630632e-4,0.03373541808195214,0.033744455179422685,0.21306306306306305,0.14831831831831832,0.27192192192192194
lambda_four,0.1682658658658659,0.16057497497497497,0.17485805805805807,1665.6705967051714,5.148952581751695e-4,0.015154088389261399,0.015162833245684607,0.5652352352352352,0.5377677677677677,0.5887787787787787
iota_one,0.6404354354354355,0.5619569569569569,0.6840890890890892,7152.82420527638,0.0010876212141465982,0.06636285089715636,0.06637176281449567,0.4808708708708708,0.3239139139139139,0.5681781781781782
iota_two,0.18746246246246245,0.1698048048048048,0.20659159159159157,3414.1714937921674,7.051962029405639e-4,0.029723321696374122,0.029731686032762866,0.3749249249249249,0.3396096096096096,0.41318318318318314
iota_three,0.5045915915915916,0.42218918918918913,0.5457927927927927,3546.1039904431973,9.868570872463513e-4,0.04239154608729933,0.04240303133718474,0.577987987987988,0.46027027027027023,0.6368468468468468
iota_four,0.21518618618618618,0.09393693693693693,0.274045045045045,10980.966887968218,0.0017429551696505753,0.13177572949864558,0.13178725574813227,0.7172872872872873,0.3131231231231231,0.9134834834834834
gamma,84.05437270603937,83.21890390390391,84.9733883883884,679.6573038429732,2.587180646903973e-4,0.004859864070621406,0.004866745711655172,0.5583683683683683,0.5485585585585585,0.5691591591591592
sigma,0.049510000000000005,0.04744307307307307,0.049510000000000005,18508.12440263338,4.1340670961178893e-4,0.04057916409154504,0.04058126986031969,0.99,0.9478178178178177,0.99
tau_cases,0.99,0.987057057057057,0.99,979.4054978308396,0.0012134686502407114,0.027374769250799423,0.027401651368113396,0.99,0.987057057057057,0.99
tau_deaths,0.99,0.01,0.99,2538339.9701926988,0.005678269851305137,6.527662088705889,6.527664558406523,0.99,0.01,0.99
tau_seq_all,0.99,0.9860760760760761,0.99,1644.103606461201,8.322572692476089e-4,0.02433521926505267,0.02434944658180974,0.99,0.9860760760760761,0.99
tau_seq_unit,0.99,0.9821521521521521,0.99,68.52624803182461,0.005473377337670772,0.03223126891543004,0.03269269880843878,0.99,0.9821521521521521,0.99
day_BA_one,3.42,3.42,5.850870870870871,12426.118965902042,3.5547627211574413e-4,0.02858983902026537,0.0285920488700045,0.01,0.01,0.06787787787787787
day_BA_two,57.58013013013013,57.2613113113113,57.96271271271271,297.42654279438256,2.133220749501327e-4,0.0026459749034320073,0.0026545601325366603,0.7320020020020019,0.727097097097097,0.7378878878878878
beta_naught1,266.0012217217217,225.3866961961962,301.62799849849847,3845.654519486667,7.374203458117436e-4,0.03298820414207825,0.03299644528257318,0.3611911911911912,0.30527527527527526,0.4102402402402402
beta_naught2,317.30378028028025,296.6402497497497,349.36787937937936,1206.6146366379198,5.110883980189709e-4,0.01279974407177386,0.012809943780263035,0.4318218218218218,0.40337337337337337,0.47596596596596596
beta_naught3,271.70150600600596,257.4507952952953,286.6647522522522,1620.3641696966497,5.700400404872708e-4,0.01654706726827541,0.016556883185810976,0.369039039039039,0.3494194194194194,0.3896396396396396
beta_naught4,237.49980030030028,209.71091441441442,268.13882832832826,2760.220097729422,4.904617709437503e-4,0.01858629255132639,0.018592762665947418,0.3219519519519519,0.2836936936936937,0.3641341341341341
beta_naught5,189.75991941941942,169.0963888888889,213.27359209209212,2576.3867746890105,6.127053175134405e-4,0.022431697537716063,0.022440063775080635,0.2562262262262262,0.22777777777777777,0.2885985985985986
beta_naught6,384.2821206206206,363.6185900900901,410.64593543543543,2499.050930680635,5.599045510742605e-4,0.020188381267558824,0.02019614397132863,0.524034034034034,0.4955855855855856,0.5603303303303303
beta_naught7,304.4781406406406,278.82686136136135,334.4046331331331,1837.2194554257196,5.62675828203383e-4,0.01739316220951224,0.017402261224738844,0.41416416416416413,0.37884884884884884,0.4553653653653653
beta_naught8,451.2604609609609,434.8721436436436,464.79863613613605,1171.0104900074086,5.912346260604154e-4,0.014586486556752137,0.014598463907321332,0.6162462462462462,0.5936836836836836,0.6348848848848848
beta_naught9,114.94368818818819,16.613784284284282,216.12373423423426,19489.1100372024,9.10633675276686e-4,0.09172447092184365,0.09172899116191505,0.1532232232232232,0.017847847847847848,0.29252252252252253
beta_naught10,367.18126776776774,210.42344994994997,558.1407912912913,12408.365508250254,0.0013520409567485125,0.10866268397150829,0.10867109506506599,0.5004904904904904,0.28467467467467467,0.7633933933933934
beta_naught11,556.0031846846847,503.275555055055,590.2048903903903,2477.3783171636774,7.716875514051819e-4,0.027703596057238267,0.027714341705687713,0.7604504504504505,0.6878578578578578,0.8075375375375375
beta_naught12,528.2142987987987,461.9484939939939,599.4678523523523,5677.0142505206195,0.0010187399744691302,0.05537538593412161,0.055384756011816964,0.7221921921921921,0.6309609609609609,0.8202902902902902
