profile_para,mle_transformed,CI_low_transformed,CI_high_transformed,delta,se_stat,se_mc,se,mle,CI_low,CI_high
beta_naught13,348.6553438438438,261.013472972973,401.38297347347344,5805.305046576211,9.411644813288463e-4,0.051733647745463865,0.05174220810549791,0.474984984984985,0.3543243243243243,0.5475775775775775
beta_naught14,414.2086131131131,372.88155205205203,449.8353898898899,3024.0211961864643,7.312399507507504e-4,0.029005560791959262,0.029014776730514717,0.5652352352352352,0.5083383383383383,0.6142842842842843
beta_naught15,266.71375725725727,258.16333083083083,273.12657707707706,810.2473588732248,4.201605132107039e-4,0.008619371210937365,0.008629605722673392,0.3621721721721722,0.3504004004004004,0.371001001001001
beta_naught16,34.427172672672675,10.9135,196.88527477477479,34988.22703642556,8.9594965567962e-4,0.12092039599646374,0.1209237151832804,0.042372372372372374,0.01,0.26603603603603604
beta_naught17,186.90977727727727,166.95878228228227,208.99837887887887,2541.9066784064603,6.27450343299077e-4,0.022817177723181082,0.022825803231968356,0.2523023023023023,0.22483483483483482,0.2827127127127127
beta_naught18,358.6308413413413,318.7288513513513,380.7194429429429,2154.5225526821046,7.320908183891403e-4,0.02450832996857099,0.024519261710229463,0.4887187187187187,0.43378378378378374,0.5191291291291291
beta_naught19,481.18695345345344,415.6336841841842,537.4772607607607,6487.069291708878,7.706189203182766e-4,0.044778190451465125,0.044784821018153405,0.6574474474474474,0.5671971971971972,0.7349449449449449
beta_naught20,270.2764349349349,262.438544044044,278.1143258258258,861.5123034909595,4.80636412901584e-4,0.010167862191986695,0.010179215731903876,0.36707707707707704,0.3562862862862863,0.37786786786786786
beta_naught21,233.93712262262264,208.99837887887887,266.71375725725727,1578.5997683421506,5.754667484264501e-4,0.016487651080134225,0.016497690751095917,0.31704704704704706,0.2827127127127127,0.3621721721721722
beta_naught22,111.38101051051052,31.57703053053053,203.29809459459457,10152.255993793653,9.288901770196258e-4,0.06752606938261299,0.06753245799781338,0.14831831831831832,0.03844844844844845,0.27486486486486483
beta_naught23,293.07757207207203,92.85508658658658,584.504606106106,35460.89117221451,0.0030190605711250254,0.410205797427921,0.41021690722130005,0.39846846846846845,0.1228128128128128,0.7996896896896897
beta_naught24,200.44795245245248,180.49695745745748,223.96162512512512,3248.016308505802,5.085825002679775e-4,0.02090783051560348,0.020914015229715664,0.27094094094094096,0.24347347347347348,0.3033133133133133
beta_naught25,412.78354204204203,381.43197847847847,463.373565065065,2190.1408872616253,7.347699734038029e-4,0.024800692889386335,0.024811575014647373,0.5632732732732733,0.5201101101101101,0.6329229229229228
beta_naught26,513.963588088088,454.8231386386386,563.12854004004,4166.856117107329,9.226279572140061e-4,0.0429633019131612,0.042973207392849724,0.7025725725725726,0.6211511511511512,0.7702602602602602
beta_naught27,589.4923548548549,305.1906761761761,722.7365,22515.62365688323,0.0018008873529814125,0.19497409832863655,0.19498241514127104,0.8065565565565566,0.4151451451451451,0.99
beta_naught28,359.34337687687685,324.4291356356356,386.4197272272272,3348.5513063860762,6.328968387299594e-4,0.02641823022602915,0.026425810237038234,0.4896996996996997,0.4416316316316316,0.526976976976977
beta_naught29,104.9681906906907,82.8795890890891,127.76932782782784,10732.217250763531,2.2275704648558355e-4,0.01664961592150333,0.016651106000363347,0.1394894894894895,0.10907907907907907,0.17088088088088088
