profile_para,mle,CI_low,CI_high,delta,se_stat,se_mc,se
eta_two,0.4288788788788789,0.422992992992993,0.43378378378378374,800.9123278999165,1.3592820263959348e-4,0.002772346998610094,0.0027756772789672844
eta_three,0.3768868868868869,0.37002002002002,0.38375375375375376,923.3811972229485,1.7690971410677338e-4,0.0038748682579674743,0.0038789046216102336
eta_four,0.9409509509509509,0.6682382382382382,0.99,27320.125862833444,0.0011989742313929632,0.14298906850553483,0.14299409516231107
epsilon_four,0.01,-Inf,Inf,-4631.972847010426,NA,0.04382995853763747,0.04382087392936255
lambda_one,0.7741841841841841,0.7673173173173172,0.782032032032032,496.2000259213812,2.476389523738324e-4,0.0039725747223142704,0.003980285790631511
lambda_two,0.10123123123123122,0.06101101101101101,0.14047047047047048,28072.298607023764,1.8572328746989893e-4,0.022452122278641327,0.022452890414255595
lambda_three,0.21306306306306305,0.14831831831831832,0.27192192192192194,3586.4749595920607,7.809111293630632e-4,0.03373541808195214,0.033744455179422685
lambda_four,0.5652352352352352,0.5377677677677677,0.5887787787787787,1665.6705967051714,5.148952581751695e-4,0.015154088389261399,0.015162833245684607
iota_one,0.4808708708708708,0.3239139139139139,0.5681781781781782,7152.82420527638,0.0010876212141465982,0.06636285089715636,0.06637176281449567
iota_two,0.3749249249249249,0.3396096096096096,0.41318318318318314,3414.1714937921674,7.051962029405639e-4,0.029723321696374122,0.029731686032762866
iota_three,0.577987987987988,0.46027027027027023,0.6368468468468468,3546.1039904431973,9.868570872463513e-4,0.04239154608729933,0.04240303133718474
iota_four,0.7172872872872873,0.3131231231231231,0.9134834834834834,10980.966887968218,0.0017429551696505753,0.13177572949864558,0.13178725574813227
gamma,0.5583683683683683,0.5485585585585585,0.5691591591591592,679.6573038429732,2.587180646903973e-4,0.004859864070621406,0.004866745711655172
sigma,0.99,0.9478178178178177,0.99,18508.12440263338,4.1340670961178893e-4,0.04057916409154504,0.04058126986031969
tau_cases,0.99,0.987057057057057,0.99,979.4054978308396,0.0012134686502407114,0.027374769250799423,0.027401651368113396
tau_deaths,0.99,0.01,0.99,2538339.9701926988,0.005678269851305137,6.527662088705889,6.527664558406523
tau_seq_all,0.99,0.9860760760760761,0.99,1644.103606461201,8.322572692476089e-4,0.02433521926505267,0.02434944658180974
tau_seq_unit,0.99,0.9821521521521521,0.99,68.52624803182461,0.005473377337670772,0.03223126891543004,0.03269269880843878
day_BA_one,0.01,0.01,0.06787787787787787,12426.118965902042,3.5547627211574413e-4,0.02858983902026537,0.0285920488700045
day_BA_two,0.7320020020020019,0.727097097097097,0.7378878878878878,297.42654279438256,2.133220749501327e-4,0.0026459749034320073,0.0026545601325366603
beta_naught1,0.3611911911911912,0.30527527527527526,0.4102402402402402,3845.654519486667,7.374203458117436e-4,0.03298820414207825,0.03299644528257318
beta_naught2,0.4318218218218218,0.40337337337337337,0.47596596596596596,1206.6146366379198,5.110883980189709e-4,0.01279974407177386,0.012809943780263035
beta_naught3,0.369039039039039,0.3494194194194194,0.3896396396396396,1620.3641696966497,5.700400404872708e-4,0.01654706726827541,0.016556883185810976
beta_naught4,0.3219519519519519,0.2836936936936937,0.3641341341341341,2760.220097729422,4.904617709437503e-4,0.01858629255132639,0.018592762665947418
beta_naught5,0.2562262262262262,0.22777777777777777,0.2885985985985986,2576.3867746890105,6.127053175134405e-4,0.022431697537716063,0.022440063775080635
beta_naught6,0.524034034034034,0.4955855855855856,0.5603303303303303,2499.050930680635,5.599045510742605e-4,0.020188381267558824,0.02019614397132863
beta_naught7,0.41416416416416413,0.37884884884884884,0.4553653653653653,1837.2194554257196,5.62675828203383e-4,0.01739316220951224,0.017402261224738844
beta_naught8,0.6162462462462462,0.5936836836836836,0.6348848848848848,1171.0104900074086,5.912346260604154e-4,0.014586486556752137,0.014598463907321332
beta_naught9,0.1532232232232232,0.017847847847847848,0.29252252252252253,19489.1100372024,9.10633675276686e-4,0.09172447092184365,0.09172899116191505
beta_naught10,0.5004904904904904,0.28467467467467467,0.7633933933933934,12408.365508250254,0.0013520409567485125,0.10866268397150829,0.10867109506506599
beta_naught11,0.7604504504504505,0.6878578578578578,0.8075375375375375,2477.3783171636774,7.716875514051819e-4,0.027703596057238267,0.027714341705687713
beta_naught12,0.7221921921921921,0.6309609609609609,0.8202902902902902,5677.0142505206195,0.0010187399744691302,0.05537538593412161,0.055384756011816964
beta_naught13,0.474984984984985,0.3543243243243243,0.5475775775775775,5805.305046576211,9.411644813288463e-4,0.051733647745463865,0.05174220810549791
beta_naught14,0.5652352352352352,0.5083383383383383,0.6142842842842843,3024.0211961864643,7.312399507507504e-4,0.029005560791959262,0.029014776730514717
beta_naught15,0.3621721721721722,0.3504004004004004,0.371001001001001,810.2473588732248,4.201605132107039e-4,0.008619371210937365,0.008629605722673392
beta_naught16,0.042372372372372374,0.01,0.26603603603603604,34988.22703642556,8.9594965567962e-4,0.12092039599646374,0.1209237151832804
beta_naught17,0.2523023023023023,0.22483483483483482,0.2827127127127127,2541.9066784064603,6.27450343299077e-4,0.022817177723181082,0.022825803231968356
beta_naught18,0.4887187187187187,0.43378378378378374,0.5191291291291291,2154.5225526821046,7.320908183891403e-4,0.02450832996857099,0.024519261710229463
beta_naught19,0.6574474474474474,0.5671971971971972,0.7349449449449449,6487.069291708878,7.706189203182766e-4,0.044778190451465125,0.044784821018153405
beta_naught20,0.36707707707707704,0.3562862862862863,0.37786786786786786,861.5123034909595,4.80636412901584e-4,0.010167862191986695,0.010179215731903876
beta_naught21,0.31704704704704706,0.2827127127127127,0.3621721721721722,1578.5997683421506,5.754667484264501e-4,0.016487651080134225,0.016497690751095917
beta_naught22,0.14831831831831832,0.03844844844844845,0.27486486486486483,10152.255993793653,9.288901770196258e-4,0.06752606938261299,0.06753245799781338
beta_naught23,0.39846846846846845,0.1228128128128128,0.7996896896896897,35460.89117221451,0.0030190605711250254,0.410205797427921,0.41021690722130005
beta_naught24,0.27094094094094096,0.24347347347347348,0.3033133133133133,3248.016308505802,5.085825002679775e-4,0.02090783051560348,0.020914015229715664
beta_naught25,0.5632732732732733,0.5201101101101101,0.6329229229229228,2190.1408872616253,7.347699734038029e-4,0.024800692889386335,0.024811575014647373
beta_naught26,0.7025725725725726,0.6211511511511512,0.7702602602602602,4166.856117107329,9.226279572140061e-4,0.0429633019131612,0.042973207392849724
beta_naught27,0.8065565565565566,0.4151451451451451,0.99,22515.62365688323,0.0018008873529814125,0.19497409832863655,0.19498241514127104
beta_naught28,0.4896996996996997,0.4416316316316316,0.526976976976977,3348.5513063860762,6.328968387299594e-4,0.02641823022602915,0.026425810237038234
beta_naught29,0.1394894894894895,0.10907907907907907,0.17088088088088088,10732.217250763531,2.2275704648558355e-4,0.01664961592150333,0.016651106000363347
