code,population,total,travel_per_capita,continent,relative_weight_global,travel_hub_rank_global,travel_hub_rank_in_continent
AE,9241703.99422859,38102478.754849374,4.122884565297074,AS,0.19558100739412154,1,1
HK,7503441.857572,29738398.833152726,3.9633010287329156,AS,0.18801069870601356,2,2
NZ,4495667.09720521,8593691.391859027,1.9115497669303423,OC,0.09067991673768726,3,1
GB,67220446.9393551,125538859.6705512,1.8675695474594174,EU,0.08859358725324333,4,1
ES,46021217.7361229,64779697.08927506,1.407605019508823,EU,0.06677383355474105,5,2
DE,84914055.85214,112479116.28961319,1.3246230575238565,EU,0.062837343104058,6,3
CA,36519840.2725342,47561084.42699268,1.3023354996095742,NA,0.061780068043310314,7,1
FR,66204314.9643178,67487759.72506513,1.019386119491442,EU,0.0483575421567387,8,4
AU,24568113.4912073,19466926.128935963,0.7923655243575374,OC,0.03758816067338816,9,2
KR,53398251.977387,25285897.736313626,0.4735341851081877,AS,0.02246346980911421,10,3
TR,81359692.9303787,32844929.002575155,0.4037002577023157,AS,0.019150694577110047,11,4
US,327978729.925464,115721410.54001358,0.3528320588542808,NA,0.01673761377956259,12,2
TN,11571604.4856092,2628026.574294934,0.22710995502509856,AF,0.01077362052940278,13,1
JP,127788411.12697,26856874.232312486,0.21016674356822243,AS,0.009969870069562127,14,5
AR,45115284.355549,5838635.697276459,0.129415912604313,SA,0.006139219800871948,15,1
ZA,55588424.5221186,6644838.892918101,0.11953637740307109,AF,0.00567055534601221,16,2
MA,35952185.5373019,3997532.726890521,0.1111902563682231,AF,0.005274632847097614,17,3
MX,124940174.748336,9374026.325784907,0.07502811921519066,NA,0.0035591768109413217,18,3
BR,216664813.675699,12353049.878537685,0.0570145639661988,SA,0.0027046514836978615,19,2
CL,18198359.0378763,420537.1227896431,0.0231085188458134,SA,0.0010962197276373586,20,3
IN,1390706967.59053,26964080.519091167,0.019388757766711846,AS,9.197620539882527e-4,21,6
PG,9866614.40180445,166855.2226967377,0.01691109188033359,OC,8.022267744117333e-4,22,3
NG,214823785.7115,3379933.634089514,0.01573351676535779,AF,7.463650776745072e-4,23,4
EU_others,467067849.9007758,282589792.04632187,0.6050294236829947,EU,0.028701328478372878,24,5
NA_others,68182673.2984273,13662319.689687435,0.20037817569705893,NA,0.009505520914288131,25,4
OC_others,911248.457167402,146800.39503825337,0.16109809995682134,OC,0.007642156402834849,26,4
SA_others,147718252.18956628,12432223.841038428,0.08416173124688885,SA,0.003992456233155241,27,4
AS_others,2886533722.0097303,170940043.78044003,0.0592198325891804,AS,0.0028092648077011036,28,7
AF_others,798803602.2309464,19180162.71016913,0.024011111938656293,AF,0.0011390368532612648,29,5
