code,population,total,travel_per_capita,continent,relative_weight_global,travel_hub_rank_global,travel_hub_rank_in_continent
AE,9241703.99422859,8089003.158639308,0.875271829057808,AS,0.20032712983902545,1,1
HK,7503441.857572,4027702.741333334,0.5367806958174575,AS,0.12285524630886323,2,2
ES,46021217.7361229,21860008.23752141,0.4749984748961366,EU,0.10871489061436804,3,1
GB,67220446.9393551,30572940.607323013,0.4548160864640678,EU,0.10409566283430238,4,2
DE,84914055.85214,33456303.223860286,0.3940019457098765,EU,0.09017687570273457,5,3
FR,66204314.9643178,20692519.272794336,0.3125554472385524,EU,0.07153587443600543,6,4
CA,36519840.2725342,11323925.250089074,0.3100759796752331,NA,0.07096838830884034,7,1
NZ,4495667.09720521,645055.565553999,0.14348383712731005,OC,0.03283974682578962,8,1
US,327978729.925464,33424263.788192928,0.1019098518851783,NA,0.023324534679076962,9,2
TR,81359692.9303787,8224021.656472269,0.10108226027241458,AS,0.023135120320063183,10,3
AU,24568113.4912073,2384354.883287713,0.09705079244855537,OC,0.022212421392278133,11,2
KR,53398251.977387,5166687.1826946195,0.0967576089360116,AS,0.022145319253680525,12,4
MA,35952185.5373019,1703490.2294842664,0.04738210498265325,AF,0.010844540840671123,13,1
JP,127788411.12697,4731123.552616631,0.03702310335415163,AS,0.00847363274636016,14,5
CL,18198359.0378763,627868.4593772691,0.03450137773798641,SA,0.007896474841630469,15,1
MX,124940174.748336,2732641.4061114774,0.021871599040226824,NA,0.005005844487689145,16,3
AR,45115284.355549,967877.6019465218,0.021453430157256155,SA,0.004910136423825509,17,2
ZA,55588424.5221186,1115942.2181089865,0.02007508267597967,AF,0.004594668262189142,18,2
BR,216664813.675699,2409477.9651774582,0.011120762639308534,SA,0.0025452555277048774,19,3
NG,214823785.7115,1237419.151319096,0.005760158947114459,AF,0.00131835170627411,20,3
PG,9866614.40180445,51374.99023314996,0.005206952267614135,OC,0.0011917369762748902,21,3
IN,1390706967.59053,4235599.371647807,0.0030456447478552557,AS,6.97069470982425e-4,22,6
TN,11571604.4856092,25008.847716605083,0.0021612255886992032,AF,4.94648753387646e-4,23,4
EU_others,467067849.9007758,68178316.26018064,0.14597090395895262,EU,0.033408972229327524,24,5
NA_others,68182673.2984273,3728759.909535455,0.0546877927947343,NA,0.012516624212153065,25,4
OC_others,911248.457167402,32725.070885995563,0.035912347097651946,OC,0.008219409309219666,26,4
SA_others,147718252.18956628,1649817.2635550273,0.011168675766876952,SA,0.00255622160590909,27,4
AS_others,2886533722.0097303,24107312.752559453,0.008351647711142933,AS,0.0019114765948778543,28,7
AF_others,798803602.2309464,3782356.739474691,0.004735027144233074,AF,0.0010837254964953763,29,5
