code,population,code_d,total,travel_per_capita
AE,9241703.99422859,AE,8089003.158639308,0.875271829057808
AF_others,798803602.2309464,AF_others,3782356.739474691,0.004735027144233074
AR,45115284.355549,AR,967877.6019465218,0.021453430157256155
AS_others,2886533722.0097303,AS_others,24107312.752559453,0.008351647711142933
AU,24568113.4912073,AU,2384354.883287713,0.09705079244855537
BR,216664813.675699,BR,2409477.9651774582,0.011120762639308534
CA,36519840.2725342,CA,11323925.250089074,0.3100759796752331
CL,18198359.0378763,CL,627868.4593772691,0.03450137773798641
DE,84914055.85214,DE,33456303.223860286,0.3940019457098765
ES,46021217.7361229,ES,21860008.23752141,0.4749984748961366
EU_others,467067849.9007758,EU_others,68178316.26018064,0.14597090395895262
FR,66204314.9643178,FR,20692519.272794336,0.3125554472385524
GB,67220446.9393551,GB,30572940.607323013,0.4548160864640678
HK,7503441.857572,HK,4027702.741333334,0.5367806958174575
IN,1390706967.59053,IN,4235599.371647807,0.0030456447478552557
JP,127788411.12697,JP,4731123.552616631,0.03702310335415163
KR,53398251.977387,KR,5166687.1826946195,0.0967576089360116
MA,35952185.5373019,MA,1703490.2294842664,0.04738210498265325
MX,124940174.748336,MX,2732641.4061114774,0.021871599040226824
NA_others,68182673.2984273,NA_others,3728759.909535455,0.0546877927947343
NG,214823785.7115,NG,1237419.151319096,0.005760158947114459
NZ,4495667.09720521,NZ,645055.565553999,0.14348383712731005
OC_others,911248.457167402,OC_others,32725.070885995563,0.035912347097651946
PG,9866614.40180445,PG,51374.99023314996,0.005206952267614135
SA_others,147718252.18956628,SA_others,1649817.2635550273,0.011168675766876952
TN,11571604.4856092,TN,25008.847716605083,0.0021612255886992032
TR,81359692.9303787,TR,8224021.656472269,0.10108226027241458
US,327978729.925464,US,33424263.788192928,0.1019098518851783
ZA,55588424.5221186,ZA,1115942.2181089865,0.02007508267597967
