code,population,total,travel_per_capita,continent,relative_weight_global,travel_hub_rank_global,travel_hub_rank_in_continent
GB,67220446.9393551,125538859.6705512,1.8675695474594174,EU,0.09768223289495784,1,1
US,327978729.925464,115721410.54001358,0.3528320588542808,NA,0.09004324083369303,2,1
DE,84914055.85214,112479116.28961319,1.3246230575238565,EU,0.08752040015382115,3,2
FR,66204314.9643178,67487759.72506513,1.019386119491442,EU,0.05251246570442759,4,3
ES,46021217.7361229,64779697.08927506,1.407605019508823,EU,0.0504053125426291,5,4
CA,36519840.2725342,47561084.42699268,1.3023354996095742,NA,0.03700744883238792,6,2
AE,9241703.99422859,38102478.754849374,4.122884565297074,AS,0.02964767414148711,7,1
TR,81359692.9303787,32844929.002575155,0.4037002577023157,AS,0.025556755993064968,8,2
HK,7503441.857572,29738398.833152726,3.9633010287329156,AS,0.023139553827129428,9,3
IN,1390706967.59053,26964080.519091167,0.019388757766711846,AS,0.02098084688658455,10,4
JP,127788411.12697,26856874.232312486,0.21016674356822243,AS,0.02089742929381367,11,5
KR,53398251.977387,25285897.736313626,0.4735341851081877,AS,0.019675046898773776,12,6
AU,24568113.4912073,19466926.128935963,0.7923655243575374,OC,0.015147284409512062,13,1
BR,216664813.675699,12353049.878537685,0.0570145639661988,SA,0.0096119520152166,14,1
MX,124940174.748336,9374026.325784907,0.07502811921519066,NA,0.007293963200890741,15,3
NZ,4495667.09720521,8593691.391859027,1.9115497669303423,OC,0.006686781815367131,16,2
ZA,55588424.5221186,6644838.892918101,0.11953637740307109,AF,0.005170372759405914,17,1
AR,45115284.355549,5838635.697276459,0.129415912604313,SA,0.004543063187501307,18,2
MA,35952185.5373019,3997532.726890521,0.1111902563682231,AF,0.0031104944226678847,19,2
NG,214823785.7115,3379933.634089514,0.01573351676535779,AF,0.002629938373512896,20,3
TN,11571604.4856092,2628026.574294934,0.22710995502509856,AF,0.002044876817888088,21,4
CL,18198359.0378763,420537.1227896431,0.0231085188458134,SA,3.27221429899205e-4,22,3
PG,9866614.40180445,166855.2226967377,0.01691109188033359,OC,1.2983064181063407e-4,23,3
EU_others,467067849.9007758,282589792.04632187,0.6050294236829947,EU,0.2198841215608225,24,5
AS_others,2886533722.0097303,170940043.78044003,0.0592198325891804,AS,0.13300905561397408,25,7
AF_others,798803602.2309464,19180162.71016913,0.024011111938656293,AF,0.014924152774166269,26,5
NA_others,68182673.2984273,13662319.689687435,0.20037817569705893,NA,0.010630699508627744,27,4
SA_others,147718252.18956628,12432223.841038428,0.08416173124688885,SA,0.00967355755683543,28,4
OC_others,911248.457167402,146800.39503825337,0.16109809995682134,OC,1.142259091314838e-4,29,4
