code,population,total,travel_per_capita,continent,relative_weight_global,travel_hub_rank_global,travel_hub_rank_in_continent
DE,84914055.85214,33456303.223860286,0.3940019457098765,EU,0.11108264258937728,1,1
US,327978729.925464,33424263.788192928,0.1019098518851783,NA,0.11097626427384168,2,1
GB,67220446.9393551,30572940.607323013,0.4548160864640678,EU,0.1015092137247095,3,2
ES,46021217.7361229,21860008.23752141,0.4749984748961366,EU,0.07258026883010936,4,3
FR,66204314.9643178,20692519.272794336,0.3125554472385524,EU,0.06870393621415766,5,4
CA,36519840.2725342,11323925.250089074,0.3100759796752331,NA,0.03759804341943462,6,2
TR,81359692.9303787,8224021.656472269,0.10108226027241458,AS,0.027305648570930187,7,1
AE,9241703.99422859,8089003.158639308,0.875271829057808,AS,0.026857356019377835,8,2
KR,53398251.977387,5166687.1826946195,0.0967576089360116,AS,0.017154593017828387,9,3
JP,127788411.12697,4731123.552616631,0.03702310335415163,AS,0.01570842131376579,10,4
IN,1390706967.59053,4235599.371647807,0.0030456447478552557,AS,0.014063166752296564,11,5
HK,7503441.857572,4027702.741333334,0.5367806958174575,AS,0.013372901993329153,12,6
MX,124940174.748336,2732641.4061114774,0.021871599040226824,NA,0.009072999685856812,13,3
BR,216664813.675699,2409477.9651774582,0.011120762639308534,SA,0.008000022532133938,14,1
AU,24568113.4912073,2384354.883287713,0.09705079244855537,OC,0.007916608106229527,15,1
MA,35952185.5373019,1703490.2294842664,0.04738210498265325,AF,0.0056559804306574955,16,1
NG,214823785.7115,1237419.151319096,0.005760158947114459,AF,0.004108516963141323,17,2
ZA,55588424.5221186,1115942.2181089865,0.02007508267597967,AF,0.003705185529170798,18,3
AR,45115284.355549,967877.6019465218,0.021453430157256155,SA,0.0032135768559932287,19,2
NZ,4495667.09720521,645055.565553999,0.14348383712731005,OC,0.002141733244084814,20,2
CL,18198359.0378763,627868.4593772691,0.03450137773798641,SA,0.0020846680877882337,21,3
PG,9866614.40180445,51374.99023314996,0.005206952267614135,OC,1.7057681597145897e-4,22,3
TN,11571604.4856092,25008.847716605083,0.0021612255886992032,AF,8.303514210424075e-5,23,4
EU_others,467067849.9007758,68178316.26018064,0.14597090395895262,EU,0.2263677336614398,24,5
AS_others,2886533722.0097303,24107312.752559453,0.008351647711142933,AS,0.08004183810640135,25,7
AF_others,798803602.2309464,3782356.739474691,0.004735027144233074,AF,0.012558296684044427,26,5
NA_others,68182673.2984273,3728759.909535455,0.0546877927947343,NA,0.012380342847835239,27,4
SA_others,147718252.18956628,1649817.2635550273,0.011168675766876952,SA,0.005477773805402574,28,4
OC_others,911248.457167402,32725.070885995563,0.035912347097651946,OC,1.0865478258663519e-4,29,4
