code,loc_name,population,total_travel_volume,travel_per_capita,travel_hub_rank
AE,United Arab Emirates,9241703.99422859,8089003.158639308,0.875271829057808,1
HK,Hong Kong Special Administrative Region of China,7503441.857572,4027702.741333334,0.5367806958174575,2
ES,Spain,46021217.7361229,21860008.23752141,0.4749984748961366,3
GB,United Kingdom,67220446.9393551,30572940.607323013,0.4548160864640678,4
DE,Germany,84914055.85214,33456303.223860286,0.3940019457098765,5
FR,France,66204314.9643178,20692519.272794336,0.3125554472385524,6
CA,Canada,36519840.2725342,11323925.250089074,0.3100759796752331,7
EU_others,EU_others,467067849.9007758,68178316.26018064,0.14597090395895262,8
NZ,New Zealand,4495667.09720521,645055.565553999,0.14348383712731003,9
US,United States of America,327978729.925464,33424263.788192928,0.1019098518851783,10
TR,Turkey,81359692.9303787,8224021.656472269,0.10108226027241458,11
AU,Australia,24568113.4912073,2384354.883287713,0.09705079244855536,12
KR,Korea,53398251.977387,5166687.1826946195,0.0967576089360116,13
NA_others,NA_others,68182673.2984273,3728759.909535455,0.0546877927947343,14
MA,Morocco,35952185.5373019,1703490.2294842664,0.04738210498265325,15
JP,Japan,127788411.12697,4731123.552616631,0.03702310335415163,16
OC_others,OC_others,911248.457167402,32725.070885995563,0.03591234709765194,17
CL,Chile,18198359.0378763,627868.4593772691,0.03450137773798641,18
MX,Mexico,124940174.748336,2732641.4061114774,0.02187159904022682,19
AR,Argentina,45115284.355549,967877.6019465218,0.02145343015725615,20
ZA,South Africa,55588424.5221186,1115942.2181089865,0.02007508267597967,21
SA_others,SA_others,147718252.18956628,1649817.2635550273,0.01116867576687695,22
BR,Brazil,216664813.675699,2409477.9651774582,0.01112076263930853,23
AS_others,AS_others,2886533722.0097303,24107312.752559453,0.00835164771114293,24
NG,Nigeria,214823785.7115,1237419.151319096,0.00576015894711445,25
PG,Papua New Guinea,9866614.40180445,51374.99023314996,0.00520695226761413,26
AF_others,AF_others,798803602.2309464,3782356.739474691,0.00473502714423307,27
IN,India,1390706967.59053,4235599.371647807,0.00304564474785525,28
TN,Tunisia,11571604.4856092,25008.847716605083,0.0021612255886992,29
