profile_para,mle,CI_low,CI_high,delta,se_stat,se_mc,se
eta_two,0.4082782782782783,0.4023923923923924,0.41416416416416413,1017.2966841379833,1.3793457435090298e-4,0.0031714179734424774,0.0031744161524720348
eta_three,0.3945445445445445,0.3866966966966967,0.4023923923923924,971.5590626173506,1.7181066899115454e-4,0.003860307706901267,0.0038641292030599217
eta_four,0.5642542542542542,0.4112212212212212,0.6034934934934935,3585.765308167753,6.91402760959895e-4,0.02986569323350697,0.029873695286921013
epsilon_four,0.01,-Inf,Inf,-10605.493493492395,NA,0.07405301754899822,0.07404631269873334
lambda_one,0.7349449449449449,0.729059059059059,0.7427927927927928,545.0617116761148,2.4776825834569986e-4,0.004166475779404077,0.0041738363085061765
lambda_two,0.12967967967967967,0.09926926926926925,0.16107107107107108,17016.65714555275,1.821840990542764e-4,0.017147072688425177,0.017148040495289393
lambda_three,0.3278378378378378,0.29056056056056057,0.3602102102102102,2066.1301640064808,5.963281760264955e-4,0.019549205686345206,0.019558298756807938
lambda_four,0.1855955955955956,0.011961961961961962,0.34157157157157153,10226.150269240201,0.0011002120789437501,0.08027098847337089,0.0802785279954154
iota_one,0.01,-Inf,Inf,-19811.164523700572,NA,0.1141441792006272,0.1141386463572339
iota_two,0.6113413413413413,0.35726726726726726,0.9203503503503503,17012.96888858407,0.0013491075020246142,0.12696353363362078,0.12697070120223633
iota_three,0.17284284284284285,0.01,0.41318318318318314,19135.550327496934,0.00133099138444096,0.13284365995150765,0.13285032753959342
iota_four,0.7526026026026026,0.05316316316316316,0.99,36732.50288988658,0.0019222947086066531,0.2658280363363557,0.265834986635299
gamma,0.5750450450450451,0.5622922922922923,0.5887787787787787,766.040642798935,2.7378247361955555e-4,0.005460762753386005,0.005467621666833683
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
day_BA_one,0.10319319319319319,0.07376376376376376,0.13164164164164163,4318.118625516356,3.3614443094984864e-4,0.015934685697055362,0.015938230809672674
day_BA_two,0.7035535535535535,0.6957057057057057,0.7114014014014014,606.5430917346036,2.0840006522225476e-4,0.003697488741201427,0.0037033570687277717
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
