parval_1,parval_2,lag_median,lag_mean,lag_25th,lag_75th,facet_4b,facet_4c,facet_4d
0.001,P2-H,10,10.847573479152427,6,15,Global (25th percentile),Global (Median),Global (75th percentile)
0.7,T2-R,11,11.470364222243921,6,16,Global (25th percentile),Global (Median),Global (75th percentile)
