profile_para,mle,CI_low
beta_naught1,0.4553653653653653,0.3739439439439439
0.52011011011011,0.5201101101101101,0.5201101101101101
3930.54983513524,3930.54983513524,3930.54983513524
0.00091679082099783,9.1679082099783e-4,9.1679082099783e-4
0.0414627094305137,0.04146270943051369,0.04146270943051369
0.0414728438707629,0.04147284387076288,0.04147284387076288
beta_naught10,0.7094394394394394,0.6329229229229228
0.77026026026026,0.7702602602602602,0.7702602602602602
5273.91817903856,5273.918179038558,5273.918179038558
0.00092376963420456,9.237696342045604e-4,9.237696342045604e-4
0.0483969713619085,0.04839697136190849,0.04839697136190849
0.0484057867133927,0.04840578671339274,0.04840578671339274
beta_naught11,0.7977277277277277,0.7643743743743743
0.8301001001001,0.8301001001001,0.8301001001001
2028.76171453364,2028.7617145336442,2028.7617145336442
0.000517764212137097,5.177642121370967e-4,5.177642121370967e-4
0.0168193332030538,0.01681933320305376,0.01681933320305376
0.0168273007097014,0.01682730070970138,0.01682730070970138
beta_naught12,0.5024524524524524,0.4465365365365365
0.581911911911912,0.5819119119119118,0.5819119119119118
4874.95278110944,4874.952781109436,4874.952781109436
0.000748071560845713,7.480715608457128e-4,7.480715608457128e-4
0.0376798951307867,0.03767989513078667,0.03767989513078667
0.037687320256649,0.03768732025664902,0.03768732025664902
beta_naught13,0.6123223223223223,0.5014714714714714
0.691781781781782,0.6917817817817817,0.6917817817817817
4365.37617965695,4365.3761796569515,4365.3761796569515
0.000997084405696719,9.970844056967194e-4,9.970844056967194e-4
0.0475241222021291,0.047524122202129086,0.047524122202129086
0.04753458076385,0.04753458076385004,0.04753458076385004
beta_naught14,0.4808708708708708,0.01
0.5103003003003,0.5103003003003003,0.5103003003003003
2654.90311859971,2654.9031185997096,2654.9031185997096
0.000692265127305075,6.922651273050753e-4,6.922651273050753e-4
0.0257280306849873,0.025728030684987274,0.025728030684987274
0.0257373424023175,0.025737342402317485,0.025737342402317485
beta_naught15,0.3641341341341341,0.3405905905905906
0.382772772772773,0.3827727727727728,0.3827727727727728
2269.02769950115,2269.0276995011495,2269.0276995011495
0.000456281342613972,4.562813426139721e-4,4.562813426139721e-4
0.0156760133147319,0.01567601331473193,0.01567601331473193
0.01568265239388,0.01568265239388001,0.01568265239388001
beta_naught16,0.1394894894894895,0.06395395395395395
0.228758758758759,0.22875875875875876,0.22875875875875876
8889.00288159735,8889.002881597347,8889.002881597347
0.000653775624693926,6.537756246939259e-4,6.537756246939259e-4
0.044470829324778,0.04447082932477805,0.04447082932477805
0.0444756347161115,0.04447563471611151,0.04447563471611151
beta_naught17,0.2415115115115115,0.20815815815815816
0.268978978978979,0.268978978978979,0.268978978978979
3280.89071684405,3280.890716844047,3280.890716844047
0.00058610340105212,5.861034010521197e-4,5.861034010521197e-4
0.0242164160339156,0.024216416033915562,0.024216416033915562
0.0242235076470029,0.024223507647002894,0.024223507647002894
beta_naught18,0.4867567567567567,0.39846846846846845
0.536786786786787,0.5367867867867867,0.5367867867867867
4601.48031310479,4601.480313104792,4601.480313104792
0.000821586720497435,8.215867204974355e-4,8.215867204974355e-4
0.0402048496566561,0.040204849656656085,0.040204849656656085
0.040213243349096,0.04021324334909604,0.04021324334909604
beta_naught19,0.526976976976977,0.5034334334334334
0.553463463463463,0.5534634634634634,0.5534634634634634
1220.24182068736,1220.2418206873556,1220.2418206873556
0.000572337181754726,5.723371817547262e-4,5.723371817547262e-4
0.0144145055206339,0.014414505520633919,0.014414505520633919
0.0144258635531466,0.014425863553146642,0.014425863553146642
beta_naught2,0.4887187187187187,0.43378378378378374
0.524034034034034,0.524034034034034,0.524034034034034
2686.22901517847,2686.2290151784655,2686.2290151784655
0.000721177556277925,7.211775562779248e-4,7.211775562779248e-4
0.0269603363098348,0.0269603363098348,0.0269603363098348
0.0269699801818072,0.026969980181807247,0.026969980181807247
beta_naught20,0.3759059059059059,0.3494194194194194
0.406316316316316,0.4063163163163163,0.4063163163163163
2692.05366128956,2692.0536612895553,2692.0536612895553
0.00062552143304308,6.255214330430796e-4,6.255214330430796e-4
0.0234097066967242,0.023409706696724212,0.023409706696724212
0.0234180623598506,0.023418062359850583,0.023418062359850583
beta_naught21,0.2827127127127127,0.2552452452452452
0.316066066066066,0.3160660660660661,0.3160660660660661
1786.24624677525,1786.2462467752464,1786.2462467752464
0.000567350445382895,5.673504453828947e-4,5.673504453828947e-4
0.0172924030744103,0.01729240307441033,0.01729240307441033
0.0173017077369765,0.01730170773697649,0.01730170773697649
