profile_para,text_note,mle_transformed,CI_low_transformed,CI_high_transformed,delta,se_stat,se_mc,se,mle,CI_low,CI_high
beta_naught1,"218.97 (154.85, 266)",218.97387637637635,154.8456781781782,266.0012217217217,5060.169729210752,6.844020723979142e-4,0.03512192611149983,0.03512859376602423,0.2964464464464464,0.20815815815815816,0.3611911911911912
beta_naught2,"293.08 (268.14, 327.28)",293.07757207207203,268.13882832832826,327.27927777777774,3897.065536458619,5.520101503417719e-4,0.02485854894996963,0.0248646771767525,0.3984684684684685,0.3641341341341341,0.44555555555555554
beta_naught3,"238.92 (196.89, 277.4)",238.92487137137135,196.8852747747748,277.40179029029025,4117.174835276159,6.322696209223766e-4,0.02926628184779666,0.02927311083687919,0.3239139139139139,0.26603603603603604,0.3768868868868869
beta_naught4,"226.1 (201.87, 253.89)",226.09923173173175,201.8730235235235,253.8881176176176,3151.37305914002,4.195860609117078e-4,0.01699047335419178,0.01699565348146438,0.30625625625625624,0.27290290290290287,0.3445145145145145
beta_naught5,"180.5 (144.87, 209.71)",180.49695745745748,144.8701806806807,209.7109144144144,7577.446264647956,6.120464394557053e-4,0.0384377241592861,0.03844259667854679,0.24347347347347348,0.1944244244244244,0.2836936936936937
beta_naught6,"372.88 (348.66, 402.1)",372.881552052052,348.6553438438438,402.09550900900894,4396.844941836389,6.101739624672284e-4,0.02918745802477275,0.02919383527754351,0.5083383383383383,0.474984984984985,0.5485585585585585
beta_naught7,"338.68 (308.04, 365.04)",338.6798463463463,308.0408183183183,365.04366116116114,1969.0087463175,7.979560615866111e-4,0.02553628880201266,0.0255487529961057,0.4612512512512512,0.41906906906906904,0.49754754754754754
beta_naught8,"452.69 (427.03, 475.49)",452.685532032032,427.0342527527527,475.48666916916915,3145.2045169150256,5.887528309914862e-4,0.02381725527592193,0.0238245310294753,0.6182082082082082,0.5828928928928928,0.6495995995995996
beta_naught9,"10.91 (10.91, 722.74)",10.9135,10.9135,722.7365,276182.5070036145,0.00116640293830697,0.4422950566076065,0.4422965946006598,0.01,0.01,0.99
beta_naught10,"365.04 (335.12, 407.08)",365.04366116116114,335.1171686686686,407.08325775775774,3087.6483258061935,8.15436670897623e-4,0.032684055344889953,0.03269422595431912,0.49754754754754754,0.4563463463463463,0.5554254254254254
beta_naught11,"556 (531.78, 580.23)",556.0031846846847,531.7769764764764,580.2293928928929,1513.9208681328832,6.134492352013363e-4,0.01721160821192624,0.01722253689805936,0.7604504504504505,0.727097097097097,0.7938038038038038
beta_naught12,"206.86 (179.07, 238.92)",206.86077227227227,179.0718863863864,238.92487137137135,2804.648970107105,6.215062647798523e-4,0.02374121342984325,0.02374934704699331,0.27976976976976975,0.2415115115115115,0.3239139139139139
beta_naught13,"200.45 (170.52, 242.49)",200.44795245245248,170.52145995995997,242.48754904904905,4903.11263272333,6.442336961033177e-4,0.03254327056910688,0.0325496466400066,0.27094094094094096,0.22973973973973977,0.3288188188188188
beta_naught14,"20.89 (10.91, 722.74)",20.888997497497495,10.9135,722.7365,78016.11117647566,0.00110907130056712,0.22351834704598944,0.2235210985686164,0.02373373373373373,0.01,0.99
beta_naught15,"267.43 (251.04, 280.25)",267.42629279279276,251.0379754754755,280.2519324324324,1727.3266159395755,4.74849695631959e-4,0.01423209088541545,0.01424001029508642,0.3631531531531531,0.3405905905905906,0.3808108108108108
beta_naught16,"77.18 (10.91, 206.15)",77.1793048048048,10.9135,206.14823673673672,22936.856009847088,8.658769439360486e-4,0.09461758128154614,0.09462154316249566,0.10123123123123122,0.01,0.27878878878878877
beta_naught17,"181.92 (152.71, 210.42)",181.92202852852853,152.7080715715716,210.42344994994997,3785.486348718592,5.812722319646552e-4,0.02579865820290282,0.0258052057243855,0.24543543543543545,0.2052152152152152,0.28467467467467467
beta_naught18,"402.1 (-Inf, Inf)",402.09550900900894,-Inf,Inf,-755021.4576838926,NA,1.519289760006699,1.519287827519266,0.5485585585585585,-Inf,Inf
beta_naught19,"434.16 (382.14, 484.04)",434.1596081081081,382.144514014014,484.0370955955956,4703.986850620958,7.705616568812254e-4,0.03812577385687622,0.03813355998923681,0.5927027027027026,0.5210910910910911,0.6613713713713714
beta_naught20,"267.43 (245.34, 285.24)",267.42629279279276,245.3376911911912,285.23968118118114,2617.2965974544727,5.562695805591247e-4,0.02052670657622391,0.02053424258921301,0.3631531531531531,0.33274274274274274,0.3876776776776776
beta_naught21,"226.81 (196.89, 265.29)",226.81176726726727,196.8852747747748,265.28868618618617,2416.2726145027,6.237529964873012e-4,0.02211463804529301,0.02212343290890787,0.3072372372372372,0.26603603603603604,0.3602102102102102
